Serie;id;Nombre;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Municipios;0133;Aranjuez;2.052,00;2.282,00;2.544,00;4.103,00;4.801,00;4.979,00;5.494,00;6.007,00;5.658,00;5.265,00;5.130,00;4.606,00;4.421,00;4.253,00;4.278,00;4.864,00;4.008,00;3.676,00;3.433,00;3.310,00;
Municipios;0148;Arganda del Rey;1.671,00;1.685,00;2.233,00;4.614,00;5.402,00;5.325,00;6.164,00;6.491,00;6.654,00;6.027,00;5.239,00;4.662,00;4.386,00;4.260,00;4.467,00;5.029,00;4.027,00;3.662,00;3.546,00;3.407,00;
Municipios;0151;Arroyomolinos;343,00;336,00;412,00;662,00;939,00;1.185,00;1.555,00;1.903,00;1.864,00;1.738,00;1.768,00;1.589,00;1.476,00;1.360,00;1.429,00;1.733,00;1.422,00;1.321,00;1.314,00;1.252,00;
Municipios;0164;Atazar (El);5,00;3,00;3,00;3,00;8,00;3,00;12,00;12,00;11,00;8,00;8,00;7,00;7,00;5,00;8,00;13,00;13,00;13,00;6,00;10,00;
Municipios;0170;Batres;44,00;52,00;49,00;85,00;113,00;113,00;138,00;153,00;125,00;113,00;118,00;104,00;98,00;85,00;83,00;97,00;91,00;77,00;94,00;82,00;
Municipios;0186;Becerril de la Sierra;201,00;171,00;194,00;334,00;391,00;430,00;517,00;556,00;474,00;445,00;442,00;380,00;319,00;317,00;321,00;357,00;289,00;322,00;327,00;327,00;
Municipios;0199;Belmonte de Tajo;38,00;47,00;62,00;119,00;165,00;166,00;162,00;206,00;170,00;152,00;146,00;104,00;106,00;109,00;121,00;120,00;116,00;108,00;120,00;108,00;
Municipios;0210;Berrueco (El);30,00;20,00;19,00;33,00;50,00;53,00;54,00;65,00;58,00;66,00;66,00;52,00;41,00;33,00;34,00;38,00;33,00;36,00;46,00;39,00;
Municipios;0203;Berzosa del Lozoya;15,00;8,00;8,00;9,00;10,00;15,00;14,00;19,00;13,00;23,00;20,00;12,00;15,00;7,00;7,00;14,00;6,00;7,00;7,00;3,00;
Municipios;0225;Boadilla del Monte;892,00;843,00;1.011,00;1.490,00;1.826,00;1.805,00;1.970,00;2.187,00;2.223,00;1.944,00;1.737,00;1.635,00;1.523,00;1.377,00;1.544,00;1.830,00;1.499,00;1.430,00;1.373,00;1.439,00;
Municipios;0231;Boalo (El);144,00;180,00;208,00;370,00;417,00;437,00;524,00;554,00;525,00;514,00;534,00;469,00;393,00;386,00;400,00;449,00;396,00;353,00;418,00;363,00;
Municipios;0246;Braojos;8,00;5,00;8,00;8,00;14,00;16,00;17,00;20,00;12,00;12,00;10,00;11,00;14,00;9,00;5,00;9,00;8,00;6,00;4,00;7,00;
Municipios;0259;Brea de Tajo;22,00;9,00;18,00;32,00;51,00;43,00;66,00;53,00;52,00;46,00;52,00;64,00;59,00;49,00;47,00;58,00;50,00;42,00;36,00;34,00;
Municipios;0262;Brunete;241,00;244,00;316,00;534,00;630,00;661,00;750,00;798,00;724,00;697,00;646,00;546,00;510,00;493,00;517,00;602,00;472,00;444,00;430,00;397,00;
Municipios;0278;Buitrago del Lozoya;74,00;74,00;69,00;105,00;130,00;172,00;165,00;174,00;165,00;144,00;129,00;108,00;96,00;91,00;92,00;131,00;84,00;92,00;95,00;83,00;
Municipios;0284;Bustarviejo;76,00;60,00;95,00;140,00;202,00;191,00;217,00;245,00;214,00;191,00;194,00;162,00;183,00;159,00;157,00;182,00;158,00;154,00;148,00;146,00;
Municipios;0297;Cabanillas de la Sierra;18,00;33,00;27,00;32,00;48,00;54,00;53,00;70,00;62,00;52,00;54,00;34,00;34,00;35,00;27,00;49,00;39,00;36,00;39,00;29,00;
Municipios;0301;Cabrera (La);74,00;74,00;82,00;192,00;232,00;259,00;274,00;264,00;257,00;231,00;210,00;187,00;155,00;155,00;198,00;213,00;166,00;168,00;152,00;153,00;
Municipios;0318;Cadalso de los Vidrios;176,00;157,00;200,00;306,00;366,00;406,00;486,00;480,00;414,00;403,00;412,00;364,00;364,00;297,00;301,00;336,00;299,00;245,00;245,00;220,00;
Municipios;0323;Camarma de Esteruelas;223,00;220,00;260,00;478,00;571,00;628,00;683,00;779,00;733,00;673,00;604,00;535,00;478,00;479,00;502,00;563,00;459,00;428,00;426,00;447,00;
Municipios;0339;Campo Real;137,00;121,00;212,00;395,00;568,00;551,00;637,00;678,00;654,00;618,00;565,00;529,00;476,00;448,00;423,00;494,00;461,00;385,00;389,00;332,00;
Municipios;0344;Canencia;17,00;23,00;22,00;22,00;28,00;35,00;42,00;36,00;33,00;26,00;31,00;33,00;35,00;27,00;28,00;33,00;24,00;23,00;24,00;24,00;
Municipios;0357;Carabaña;65,00;73,00;83,00;162,00;213,00;202,00;243,00;260,00;262,00;227,00;248,00;174,00;176,00;147,00;148,00;163,00;153,00;141,00;144,00;127,00;
Municipios;0360;Casarrubuelos;115,00;123,00;154,00;224,00;293,00;343,00;364,00;421,00;391,00;375,00;327,00;249,00;234,00;223,00;234,00;271,00;231,00;197,00;191,00;202,00;
Municipios;0376;Cenicientos;153,00;125,00;145,00;171,00;207,00;238,00;252,00;308,00;299,00;261,00;256,00;239,00;231,00;204,00;198,00;202,00;184,00;160,00;162,00;168,00;
Municipios;0382;Cercedilla;201,00;184,00;249,00;376,00;441,00;480,00;545,00;575,00;537,00;502,00;444,00;402,00;368,00;338,00;362,00;425,00;375,00;355,00;395,00;361,00;
Municipios;0395;Cervera de Buitrago;6,00;2,00;2,00;2,00;13,00;11,00;16,00;22,00;27,00;15,00;12,00;8,00;14,00;7,00;9,00;12,00;11,00;13,00;11,00;12,00;
Municipios;0513;Chapinería;96,00;81,00;131,00;162,00;227,00;231,00;238,00;307,00;246,00;235,00;221,00;167,00;178,00;157,00;195,00;200,00;145,00;147,00;147,00;128,00;
Municipios;0528;Chinchón;187,00;200,00;237,00;434,00;497,00;506,00;590,00;630,00;556,00;523,00;482,00;434,00;401,00;386,00;368,00;408,00;352,00;341,00;368,00;354,00;
Municipios;0409;Ciempozuelos;714,00;697,00;928,00;1.802,00;2.117,00;2.134,00;2.449,00;2.557,00;2.425,00;2.176,00;1.997,00;1.803,00;1.646,00;1.599,00;1.702,00;2.068,00;1.613,00;1.482,00;1.390,00;1.287,00;
Municipios;0416;Cobeña;97,00;118,00;124,00;227,00;281,00;321,00;407,00;441,00;474,00;358,00;325,00;298,00;266,00;257,00;238,00;313,00;247,00;246,00;240,00;231,00;
Municipios;0468;Collado Mediano;235,00;215,00;250,00;374,00;483,00;472,00;611,00;602,00;557,00;536,00;482,00;428,00;426,00;419,00;437,00;523,00;421,00;380,00;378,00;384,00;
Municipios;0474;Collado Villalba;2.194,00;2.134,00;2.612,00;4.219,00;5.102,00;5.197,00;6.002,00;6.219,00;5.922,00;5.368,00;4.998,00;4.582,00;4.221,00;3.982,00;4.199,00;4.835,00;3.814,00;3.570,00;3.523,00;3.390,00;
Municipios;0455;Colmenar Viejo;1.192,00;1.303,00;1.526,00;2.766,00;3.362,00;3.345,00;3.793,00;4.125,00;3.956,00;3.579,00;3.286,00;2.918,00;2.711,00;2.547,00;2.572,00;3.010,00;2.354,00;2.182,00;2.131,00;2.153,00;
Municipios;0437;Colmenar de Oreja;254,00;292,00;351,00;756,00;939,00;905,00;1.014,00;1.076,00;1.048,00;965,00;867,00;684,00;650,00;585,00;643,00;692,00;577,00;537,00;535,00;514,00;
Municipios;0421;Colmenar del Arroyo;34,00;39,00;49,00;83,00;111,00;128,00;161,00;179,00;152,00;130,00;115,00;110,00;118,00;118,00;114,00;110,00;116,00;107,00;118,00;112,00;
Municipios;0442;Colmenarejo;239,00;228,00;276,00;479,00;546,00;571,00;620,00;651,00;669,00;609,00;576,00;548,00;501,00;453,00;497,00;600,00;481,00;444,00;468,00;441,00;
Municipios;0480;Corpa;23,00;20,00;23,00;41,00;61,00;64,00;93,00;75,00;72,00;65,00;63,00;59,00;52,00;45,00;45,00;62,00;55,00;42,00;50,00;45,00;
Municipios;0493;Coslada;3.194,00;3.730,00;3.796,00;6.343,00;7.276,00;7.295,00;7.540,00;8.184,00;7.842,00;7.021,00;6.132,00;5.434,00;4.955,00;4.449,00;4.560,00;5.562,00;4.323,00;3.934,00;3.652,00;3.390,00;
Municipios;0506;Cubas de la Sagra;105,00;109,00;154,00;252,00;328,00;364,00;434,00;522,00;455,00;418,00;412,00;327,00;286,00;283,00;307,00;346,00;264,00;274,00;251,00;260,00;
Municipios;0534;Daganzo de Arriba;267,00;268,00;297,00;459,00;586,00;579,00;672,00;794,00;744,00;678,00;607,00;545,00;503,00;449,00;509,00;588,00;487,00;456,00;413,00;433,00;
Municipios;0549;Escorial (El);418,00;427,00;482,00;765,00;918,00;924,00;1.077,00;1.126,00;1.036,00;989,00;890,00;816,00;811,00;775,00;841,00;923,00;747,00;760,00;752,00;720,00;
Municipios;0552;Estremera;40,00;29,00;28,00;93,00;109,00;109,00;108,00;134,00;122,00;117,00;107,00;91,00;85,00;89,00;94,00;110,00;90,00;94,00;83,00;85,00;
Municipios;0565;Fresnedillas de la Oliva;58,00;62,00;92,00;105,00;149,00;160,00;201,00;204,00;190,00;177,00;172,00;137,00;139,00;122,00;115,00;145,00;129,00;121,00;119,00;121,00;
Municipios;0571;Fresno de Torote;65,00;62,00;90,00;152,00;176,00;159,00;198,00;199,00;200,00;204,00;180,00;149,00;150,00;119,00;130,00;162,00;155,00;125,00;130,00;127,00;
Municipios;0587;Fuenlabrada;8.985,00;8.883,00;10.684,00;18.222,00;20.649,00;20.183,00;21.715,00;24.328,00;23.230,00;20.788,00;18.427,00;16.079,00;14.417,00;13.316,00;13.229,00;15.749,00;12.138,00;11.191,00;10.443,00;9.632,00;
Municipios;0590;Fuente el Saz de Jarama;159,00;160,00;201,00;412,00;496,00;513,00;603,00;601,00;571,00;513,00;449,00;410,00;397,00;392,00;417,00;473,00;387,00;352,00;356,00;331,00;
Municipios;0604;Fuentidueña de Tajo;102,00;111,00;130,00;226,00;246,00;275,00;316,00;314,00;296,00;259,00;255,00;215,00;189,00;172,00;163,00;205,00;192,00;156,00;162,00;151,00;
Municipios;0611;Galapagar;1.077,00;1.055,00;1.286,00;2.024,00;2.425,00;2.444,00;2.706,00;2.812,00;2.747,00;2.428,00;2.260,00;1.967,00;1.863,00;1.703,00;1.812,00;2.193,00;1.683,00;1.617,00;1.610,00;1.540,00;
Municipios;0626;Garganta de los Montes;16,00;18,00;23,00;26,00;32,00;40,00;41,00;46,00;36,00;36,00;31,00;27,00;22,00;21,00;29,00;26,00;20,00;22,00;18,00;17,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;7,00;16,00;23,00;18,00;27,00;29,00;34,00;35,00;33,00;29,00;21,00;16,00;14,00;20,00;19,00;24,00;27,00;22,00;24,00;25,00;
Municipios;0647;Gascones;2,00;10,00;3,00;6,00;16,00;14,00;17,00;15,00;10,00;10,00;12,00;12,00;11,00;10,00;6,00;11,00;13,00;10,00;14,00;9,00;
Municipios;0650;Getafe;7.099,00;6.696,00;7.557,00;12.275,00;14.058,00;14.134,00;15.371,00;16.910,00;16.187,00;14.981,00;13.601,00;11.994,00;11.036,00;10.189,00;10.435,00;12.799,00;9.801,00;9.166,00;8.849,00;8.640,00;
Municipios;0663;Griñón;261,00;230,00;267,00;484,00;571,00;592,00;700,00;777,00;680,00;652,00;582,00;493,00;463,00;435,00;472,00;531,00;455,00;405,00;410,00;381,00;
Municipios;0679;Guadalix de la Sierra;175,00;203,00;240,00;376,00;472,00;486,00;546,00;637,00;621,00;568,00;551,00;466,00;447,00;386,00;383,00;460,00;374,00;350,00;342,00;345,00;
Municipios;0685;Guadarrama;501,00;412,00;494,00;806,00;950,00;1.014,00;1.096,00;1.222,00;1.159,00;1.058,00;945,00;839,00;794,00;747,00;817,00;919,00;779,00;727,00;742,00;680,00;
Municipios;0698;Hiruela (La);1,00;1,00;3,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;2,00;2,00;2,00;2,00;1,00;4,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;8,00;6,00;6,00;3,00;15,00;7,00;9,00;10,00;10,00;9,00;10,00;7,00;7,00;7,00;6,00;10,00;9,00;8,00;10,00;12,00;
Municipios;0719;Horcajuelo de la Sierra;2,00;2,00;1,00;4,00;4,00;4,00;9,00;4,00;3,00;6,00;2,00;2,00;1,00;2,00;3,00;8,00;3,00;3,00;3,00;4,00;
Municipios;0724;Hoyo de Manzanares;188,00;185,00;219,00;325,00;384,00;420,00;464,00;471,00;486,00;421,00;399,00;328,00;338,00;311,00;345,00;417,00;319,00;303,00;325,00;324,00;
Municipios;0730;Humanes de Madrid;835,00;806,00;1.073,00;1.842,00;2.084,00;2.084,00;2.256,00;2.552,00;2.319,00;2.088,00;1.830,00;1.569,00;1.449,00;1.388,00;1.355,00;1.600,00;1.269,00;1.169,00;1.182,00;1.100,00;
Municipios;0745;Leganés;7.982,00;7.853,00;9.034,00;14.506,00;16.783,00;16.700,00;18.280,00;19.947,00;18.678,00;17.180,00;15.486,00;13.590,00;12.237,00;11.219,00;11.330,00;13.365,00;10.528,00;9.591,00;9.161,00;8.873,00;
Municipios;0758;Loeches;177,00;222,00;278,00;490,00;642,00;672,00;794,00;851,00;792,00;696,00;677,00;581,00;537,00;481,00;504,00;601,00;518,00;478,00;452,00;424,00;
Municipios;0761;Lozoya;11,00;17,00;19,00;30,00;45,00;36,00;50,00;47,00;44,00;45,00;36,00;28,00;25,00;23,00;29,00;31,00;28,00;32,00;25,00;29,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;35,00;32,00;58,00;99,00;92,00;87,00;120,00;113,00;108,00;111,00;93,00;90,00;76,00;70,00;74,00;115,00;67,00;77,00;89,00;70,00;
Municipios;0783;Madarcos;1,00;1,00;0,00;0,00;3,00;2,00;5,00;6,00;4,00;2,00;2,00;1,00;4,00;2,00;2,00;0,00;1,00;1,00;1,00;1,00;
Municipios;0800;Majadahonda;1.620,00;1.661,00;1.872,00;2.765,00;3.345,00;3.317,00;3.703,00;3.827,00;3.668,00;3.357,00;2.962,00;2.586,00;2.423,00;2.122,00;2.264,00;2.883,00;2.157,00;1.977,00;1.982,00;1.916,00;
Municipios;0822;Manzanares el Real;240,00;246,00;298,00;439,00;602,00;615,00;680,00;740,00;738,00;669,00;631,00;572,00;503,00;483,00;504,00;555,00;434,00;433,00;376,00;411,00;
Municipios;0838;Meco;427,00;428,00;540,00;1.081,00;1.230,00;1.267,00;1.412,00;1.500,00;1.386,00;1.226,00;1.078,00;902,00;850,00;821,00;927,00;1.018,00;796,00;743,00;677,00;662,00;
Municipios;0843;Mejorada del Campo;836,00;873,00;1.028,00;1.939,00;2.226,00;2.210,00;2.378,00;2.549,00;2.497,00;2.209,00;1.988,00;1.795,00;1.646,00;1.536,00;1.577,00;1.880,00;1.460,00;1.326,00;1.313,00;1.194,00;
Municipios;0856;Miraflores de la Sierra;161,00;196,00;212,00;396,00;456,00;514,00;595,00;657,00;597,00;579,00;528,00;491,00;452,00;378,00;406,00;449,00;381,00;356,00;364,00;348,00;
Municipios;0869;Molar (El);160,00;198,00;299,00;530,00;640,00;651,00;748,00;787,00;778,00;732,00;662,00;597,00;545,00;490,00;506,00;618,00;492,00;485,00;484,00;468,00;
Municipios;0875;Molinos (Los);122,00;107,00;141,00;230,00;272,00;272,00;350,00;349,00;370,00;351,00;322,00;271,00;262,00;249,00;236,00;283,00;224,00;203,00;194,00;219,00;
Municipios;0881;Montejo de la Sierra;6,00;5,00;7,00;5,00;21,00;14,00;16,00;14,00;19,00;17,00;17,00;15,00;11,00;8,00;19,00;11,00;11,00;11,00;8,00;11,00;
Municipios;0894;Moraleja de Enmedio;152,00;146,00;220,00;369,00;399,00;424,00;483,00;535,00;502,00;414,00;361,00;336,00;301,00;296,00;289,00;343,00;264,00;244,00;230,00;221,00;
Municipios;0908;Moralzarzal;341,00;351,00;448,00;688,00;831,00;804,00;956,00;975,00;896,00;769,00;736,00;645,00;624,00;577,00;646,00;747,00;580,00;536,00;518,00;530,00;
Municipios;0915;Morata de Tajuña;235,00;260,00;315,00;615,00;785,00;779,00;951,00;1.026,00;927,00;838,00;750,00;663,00;615,00;571,00;587,00;670,00;543,00;480,00;457,00;459,00;
Municipios;0920;Móstoles;10.061,00;9.896,00;11.084,00;16.963,00;19.050,00;19.253,00;21.115,00;23.237,00;21.937,00;19.676,00;17.647,00;15.542,00;14.099,00;12.712,00;12.919,00;15.317,00;11.971,00;10.860,00;10.563,00;9.776,00;
Municipios;0936;Navacerrada;97,00;106,00;117,00;137,00;153,00;154,00;180,00;202,00;203,00;170,00;153,00;133,00;101,00;118,00;136,00;179,00;131,00;133,00;117,00;127,00;
Municipios;0941;Navalafuente;34,00;39,00;61,00;123,00;139,00;127,00;161,00;158,00;139,00;124,00;144,00;116,00;121,00;105,00;111,00;138,00;100,00;106,00;106,00;116,00;
Municipios;0954;Navalagamella;56,00;69,00;87,00;169,00;225,00;236,00;250,00;244,00;268,00;247,00;217,00;192,00;179,00;165,00;180,00;189,00;174,00;179,00;181,00;181,00;
Municipios;0967;Navalcarnero;801,00;816,00;1.000,00;1.760,00;2.152,00;2.294,00;2.642,00;2.966,00;2.800,00;2.628,00;2.384,00;2.101,00;1.908,00;1.743,00;1.788,00;2.160,00;1.836,00;1.551,00;1.653,00;1.537,00;
Municipios;0973;Navarredonda y San Mamés;2,00;5,00;4,00;8,00;6,00;8,00;7,00;10,00;7,00;10,00;6,00;8,00;2,00;7,00;7,00;5,00;6,00;6,00;5,00;8,00;
Municipios;0992;Navas del Rey;122,00;113,00;137,00;237,00;304,00;293,00;364,00;392,00;361,00;366,00;322,00;282,00;251,00;222,00;226,00;261,00;210,00;185,00;208,00;203,00;
Municipios;1006;Nuevo Baztán;211,00;199,00;264,00;419,00;536,00;541,00;565,00;626,00;605,00;545,00;457,00;418,00;382,00;379,00;425,00;518,00;379,00;398,00;397,00;397,00;
Municipios;1013;Olmeda de las Fuentes;9,00;12,00;12,00;18,00;19,00;24,00;20,00;24,00;22,00;18,00;18,00;10,00;16,00;16,00;16,00;14,00;12,00;20,00;16,00;27,00;
Municipios;1028;Orusco de Tajuña;53,00;54,00;51,00;90,00;133,00;136,00;165,00;176,00;160,00;129,00;114,00;101,00;97,00;99,00;100,00;122,00;101,00;95,00;98,00;100,00;
Municipios;1049;Paracuellos de Jarama;219,00;226,00;327,00;624,00;847,00;916,00;1.157,00;1.253,00;1.183,00;1.114,00;960,00;918,00;905,00;828,00;829,00;1.079,00;866,00;813,00;820,00;817,00;
Municipios;1065;Parla;4.723,00;4.959,00;6.540,00;11.619,00;14.354,00;14.232,00;15.868,00;16.750,00;15.984,00;14.392,00;13.104,00;11.415,00;10.479,00;9.761,00;10.083,00;11.605,00;9.197,00;8.380,00;8.119,00;7.519,00;
Municipios;1071;Patones;21,00;14,00;15,00;20,00;25,00;25,00;31,00;28,00;21,00;23,00;34,00;24,00;22,00;16,00;16,00;25,00;16,00;21,00;23,00;20,00;
Municipios;1087;Pedrezuela;73,00;104,00;128,00;245,00;337,00;364,00;445,00;470,00;442,00;401,00;404,00;383,00;321,00;303,00;307,00;372,00;296,00;276,00;312,00;293,00;
Municipios;1090;Pelayos de la Presa;104,00;113,00;166,00;227,00;318,00;322,00;323,00;356,00;297,00;291,00;286,00;292,00;276,00;250,00;243,00;329,00;261,00;213,00;238,00;247,00;
Municipios;1104;Perales de Tajuña;87,00;94,00;111,00;229,00;274,00;294,00;361,00;367,00;338,00;328,00;311,00;263,00;289,00;273,00;278,00;318,00;285,00;253,00;241,00;233,00;
Municipios;1111;Pezuela de las Torres;23,00;23,00;29,00;57,00;75,00;88,00;90,00;87,00;81,00;61,00;48,00;50,00;44,00;40,00;39,00;57,00;37,00;54,00;45,00;40,00;
Municipios;1126;Pinilla del Valle;4,00;15,00;9,00;6,00;8,00;14,00;17,00;16,00;19,00;14,00;10,00;9,00;7,00;6,00;11,00;12,00;11,00;10,00;8,00;5,00;
Municipios;1132;Pinto;1.436,00;1.459,00;1.926,00;3.255,00;3.948,00;4.033,00;4.518,00;4.936,00;4.778,00;4.456,00;4.045,00;3.555,00;3.378,00;3.111,00;3.307,00;3.867,00;3.011,00;2.782,00;2.648,00;2.493,00;
Municipios;1147;Piñuécar-Gandullas;5,00;6,00;7,00;8,00;11,00;11,00;12,00;16,00;10,00;12,00;11,00;8,00;12,00;7,00;12,00;16,00;8,00;4,00;7,00;7,00;
Municipios;1150;Pozuelo de Alarcón;1.746,00;1.734,00;1.930,00;2.718,00;3.313,00;3.290,00;3.564,00;3.728,00;3.555,00;3.250,00;2.773,00;2.668,00;2.430,00;2.309,00;2.353,00;2.757,00;2.223,00;2.083,00;2.082,00;1.961,00;
Municipios;1163;Pozuelo del Rey;11,00;15,00;37,00;57,00;84,00;89,00;99,00;110,00;114,00;83,00;84,00;68,00;70,00;64,00;79,00;99,00;69,00;77,00;72,00;72,00;
Municipios;1179;Prádena del Rincón;4,00;5,00;3,00;7,00;12,00;12,00;9,00;11,00;14,00;5,00;9,00;5,00;5,00;3,00;3,00;3,00;4,00;6,00;2,00;6,00;
Municipios;1185;Puebla de la Sierra;5,00;5,00;1,00;4,00;9,00;6,00;5,00;12,00;11,00;8,00;4,00;4,00;1,00;5,00;5,00;3,00;2,00;5,00;3,00;3,00;
Municipios;9020;Puentes Viejas;29,00;19,00;27,00;33,00;51,00;40,00;49,00;46,00;57,00;52,00;47,00;49,00;49,00;43,00;34,00;41,00;30,00;28,00;32,00;24,00;
Municipios;1198;Quijorna;69,00;63,00;81,00;162,00;199,00;198,00;247,00;282,00;273,00;238,00;212,00;210,00;195,00;178,00;171,00;228,00;190,00;172,00;160,00;147,00;
Municipios;1202;Rascafría;41,00;40,00;42,00;73,00;118,00;115,00;142,00;128,00;117,00;143,00;116,00;83,00;79,00;75,00;76,00;94,00;90,00;74,00;72,00;69,00;
Municipios;1219;Redueña;4,00;7,00;12,00;15,00;15,00;15,00;20,00;20,00;21,00;20,00;14,00;14,00;11,00;12,00;11,00;30,00;13,00;14,00;6,00;10,00;
Municipios;1224;Ribatejada;22,00;22,00;26,00;48,00;57,00;55,00;63,00;66,00;75,00;81,00;72,00;57,00;68,00;56,00;61,00;70,00;62,00;52,00;50,00;61,00;
Municipios;1230;Rivas-Vaciamadrid;1.758,00;1.729,00;2.046,00;3.516,00;4.379,00;4.657,00;5.107,00;5.793,00;5.854,00;5.393,00;5.025,00;4.600,00;4.330,00;4.026,00;4.159,00;5.113,00;4.177,00;4.139,00;3.993,00;3.780,00;
Municipios;1245;Robledillo de la Jara;1,00;0,00;4,00;6,00;4,00;4,00;8,00;13,00;11,00;11,00;7,00;4,00;4,00;2,00;4,00;3,00;6,00;10,00;9,00;9,00;
Municipios;1258;Robledo de Chavela;133,00;132,00;153,00;247,00;291,00;277,00;359,00;391,00;332,00;322,00;330,00;275,00;263,00;241,00;275,00;336,00;308,00;275,00;271,00;278,00;
Municipios;1261;Robregordo;0,00;1,00;2,00;1,00;1,00;4,00;5,00;3,00;5,00;2,00;1,00;0,00;1,00;2,00;3,00;2,00;3,00;4,00;5,00;6,00;
Municipios;1277;Rozas de Madrid (Las);2.049,00;2.095,00;2.138,00;3.245,00;4.074,00;4.049,00;4.533,00;4.982,00;4.633,00;4.297,00;3.836,00;3.464,00;3.163,00;2.945,00;3.119,00;3.593,00;2.878,00;2.612,00;2.622,00;2.547,00;
Municipios;1283;Rozas de Puerto Real;20,00;13,00;28,00;31,00;54,00;46,00;59,00;60,00;51,00;53,00;60,00;31,00;33,00;28,00;22,00;42,00;27,00;35,00;43,00;30,00;
Municipios;1296;San Agustín del Guadalix;285,00;272,00;349,00;573,00;716,00;775,00;852,00;965,00;920,00;820,00;689,00;676,00;599,00;527,00;527,00;683,00;535,00;491,00;502,00;503,00;
Municipios;1300;San Fernando de Henares;1.376,00;1.666,00;1.637,00;2.802,00;3.134,00;3.396,00;3.648,00;3.994,00;3.948,00;3.512,00;3.188,00;2.695,00;2.554,00;2.298,00;2.368,00;2.898,00;2.272,00;2.067,00;1.913,00;1.807,00;
Municipios;1317;San Lorenzo de El Escorial;512,00;476,00;548,00;854,00;976,00;1.070,00;1.224,00;1.292,00;1.225,00;1.092,00;1.038,00;978,00;918,00;813,00;917,00;1.126,00;875,00;739,00;721,00;677,00;
Municipios;1338;San Martín de Valdeiglesias;427,00;404,00;466,00;730,00;875,00;909,00;1.087,00;1.200,00;1.005,00;964,00;903,00;785,00;713,00;639,00;650,00;814,00;654,00;628,00;619,00;585,00;
Municipios;1322;San Martín de la Vega;537,00;553,00;743,00;1.464,00;1.944,00;2.012,00;2.220,00;2.334,00;2.214,00;2.061,00;1.822,00;1.673,00;1.421,00;1.327,00;1.401,00;1.736,00;1.352,00;1.278,00;1.191,00;1.159,00;
