Serie;id;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Municipios;1375;Santos de la Humosa (Los);30.928.090,00;32.043.927,00;32.466.033,00;34.046.900,00;36.951.145,00;37.992.297,00;40.514.094,00;42.535.277,00;46.193.937,00;
Municipios;1381;Serna del Monte (La);-;-;-;-;-;1.562.940,00;1.489.644,00;1.663.352,00;1.652.070,00;
Municipios;1408;Serranillos del Valle;50.765.406,00;52.728.192,00;55.692.000,00;59.415.815,00;65.241.960,00;67.340.262,00;72.864.512,00;79.499.664,00;86.639.229,00;
Municipios;1415;Sevilla la Nueva;111.922.182,00;116.502.792,00;122.509.800,00;131.002.280,00;139.024.960,00;141.061.797,00;151.633.944,00;165.698.881,00;182.273.004,00;
Municipios;1436;Somosierra;-;-;-;-;-;1.431.324,00;1.579.137,00;1.588.650,00;1.957.354,00;
Municipios;1441;Soto del Real;143.492.446,00;148.445.181,00;156.866.700,00;166.945.758,00;177.211.440,00;180.458.752,00;195.255.415,00;214.049.556,00;229.679.576,00;
Municipios;1454;Talamanca de Jarama;46.900.060,00;46.358.320,00;49.735.200,00;53.007.484,00;58.671.676,00;58.884.651,00;62.440.320,00;68.173.808,00;75.551.875,00;
Municipios;1467;Tielmes;26.055.864,00;26.956.188,00;28.264.960,00;29.847.324,00;31.809.904,00;32.393.340,00;35.326.500,00;36.361.884,00;39.767.760,00;
Municipios;1473;Titulcia;14.396.960,00;14.954.720,00;15.384.418,00;16.360.905,00;17.255.158,00;18.540.852,00;19.241.161,00;20.469.510,00;22.379.938,00;
Municipios;1489;Torrejón de Ardoz;1.561.401.720,00;1.560.907.905,00;1.703.902.140,00;1.797.250.869,00;1.907.276.640,00;1.911.337.272,00;2.045.051.150,00;2.231.134.171,00;2.438.130.001,00;
Municipios;1505;Torrejón de Velasco;49.630.518,00;50.109.063,00;54.395.926,00;56.554.506,00;61.020.819,00;66.828.777,00;72.325.644,00;79.490.146,00;85.391.306,00;
Municipios;1492;Torrejón de la Calzada;106.827.876,00;112.579.874,00;119.053.506,00;126.546.140,00;141.464.385,00;145.270.695,00;160.166.846,00;176.146.176,00;190.869.030,00;
Municipios;1512;Torrelaguna;53.635.442,00;55.399.323,00;58.105.386,00;62.008.752,00;66.910.461,00;68.779.606,00;71.558.814,00;76.887.825,00;83.495.448,00;
Municipios;1527;Torrelodones;522.862.128,00;537.090.886,00;570.917.178,00;617.155.556,00;645.528.793,00;654.550.998,00;699.879.825,00;762.389.600,00;837.080.896,00;
Municipios;1533;Torremocha de Jarama;12.329.836,00;12.543.776,00;12.991.117,00;13.973.846,00;15.406.163,00;16.368.992,00;17.621.240,00;19.014.466,00;20.662.642,00;
Municipios;1548;Torres de la Alameda;84.233.910,00;86.495.872,00;90.713.378,00;95.165.213,00;100.893.176,00;99.206.912,00;106.281.064,00;117.012.747,00;125.715.186,00;
Municipios;9036;Tres Cantos;1.025.481.078,00;1.052.959.424,00;1.086.139.928,00;1.155.166.997,00;1.210.310.304,00;1.237.546.228,00;1.322.533.741,00;1.430.890.380,00;1.578.738.640,00;
Municipios;1551;Valdaracete;6.546.708,00;7.262.640,00;6.985.674,00;7.167.809,00;7.501.894,00;7.380.720,00;8.398.016,00;9.347.934,00;10.581.212,00;
Municipios;1564;Valdeavero;17.774.256,00;18.807.969,00;19.901.672,00;20.514.510,00;22.070.628,00;22.963.356,00;24.663.368,00;26.310.207,00;29.245.623,00;
Municipios;1570;Valdelaguna;8.936.432,00;9.521.670,00;9.905.805,00;11.432.304,00;12.154.212,00;13.435.500,00;14.361.160,00;15.181.868,00;16.810.820,00;
Municipios;1586;Valdemanco;12.196.020,00;11.761.750,00;12.455.550,00;13.218.810,00;13.268.770,00;15.230.880,00;16.483.581,00;17.707.719,00;19.331.880,00;
Municipios;1599;Valdemaqueda;7.327.274,00;7.505.685,00;8.252.460,00;8.796.222,00;9.158.352,00;9.325.800,00;10.071.774,00;11.152.323,00;12.086.052,00;
