Serie;id;Nombre;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Municipios;0590;Fuente el Saz de Jarama;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;0604;Fuentidueña de Tajo;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0611;Galapagar;11,00;11,00;10,00;10,00;10,00;13,00;14,00;16,00;16,00;15,00;17,00;16,00;
Municipios;0626;Garganta de los Montes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;
Municipios;0647;Gascones;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0650;Getafe;50,00;50,00;52,00;50,00;50,00;50,00;50,00;52,00;53,00;54,00;56,00;53,00;
Municipios;0663;Griñón;6,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;8,00;8,00;8,00;8,00;
Municipios;0679;Guadalix de la Sierra;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;
Municipios;0685;Guadarrama;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;
Municipios;0698;Hiruela (La);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0719;Horcajuelo de la Sierra;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0724;Hoyo de Manzanares;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0730;Humanes de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0745;Leganés;54,00;53,00;52,00;53,00;53,00;55,00;56,00;63,00;68,00;79,00;85,00;82,00;
Municipios;0758;Loeches;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0761;Lozoya;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0783;Madarcos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0796;Madrid;965,00;1.001,00;1.035,00;1.101,00;1.163,00;1.249,00;1.303,00;1.308,00;1.352,00;1.389,00;1.329,00;1.364,00;
Municipios;0800;Majadahonda;13,00;14,00;13,00;15,00;15,00;15,00;16,00;15,00;16,00;16,00;16,00;17,00;
Municipios;0822;Manzanares el Real;2,00;2,00;2,00;2,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0838;Meco;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0843;Mejorada del Campo;6,00;6,00;4,00;4,00;4,00;4,00;4,00;4,00;3,00;3,00;3,00;3,00;
Municipios;0856;Miraflores de la Sierra;1,00;1,00;1,00;1,00;1,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0869;Molar (El);2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0875;Molinos (Los);4,00;4,00;4,00;4,00;4,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0881;Montejo de la Sierra;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0894;Moraleja de Enmedio;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0908;Moralzarzal;7,00;8,00;9,00;9,00;8,00;9,00;9,00;10,00;10,00;10,00;11,00;11,00;
Municipios;0915;Morata de Tajuña;4,00;4,00;4,00;4,00;4,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0920;Móstoles;35,00;34,00;34,00;36,00;44,00;44,00;40,00;45,00;45,00;56,00;56,00;52,00;
Municipios;0936;Navacerrada;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0941;Navalafuente;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0954;Navalagamella;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;1,00;1,00;1,00;
Municipios;0967;Navalcarnero;16,00;17,00;16,00;15,00;15,00;16,00;17,00;19,00;18,00;18,00;18,00;18,00;
Municipios;0973;Navarredonda y San Mamés;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0992;Navas del Rey;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,00;
Municipios;1006;Nuevo Baztán;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1013;Olmeda de las Fuentes;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;
Municipios;1028;Orusco de Tajuña;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;1,00;1,00;
Municipios;1049;Paracuellos de Jarama;4,00;4,00;3,00;3,00;3,00;3,00;4,00;5,00;5,00;5,00;7,00;7,00;
Municipios;1065;Parla;23,00;23,00;23,00;25,00;25,00;26,00;27,00;27,00;28,00;30,00;39,00;39,00;
Municipios;1071;Patones;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1087;Pedrezuela;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;5,00;5,00;
Municipios;1090;Pelayos de la Presa;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,00;2,00;2,00;2,00;1,00;
Municipios;1104;Perales de Tajuña;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1111;Pezuela de las Torres;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;1126;Pinilla del Valle;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1132;Pinto;12,00;14,00;14,00;14,00;14,00;14,00;15,00;15,00;17,00;17,00;18,00;17,00;
Municipios;1147;Piñuécar-Gandullas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1150;Pozuelo de Alarcón;51,00;50,00;49,00;51,00;51,00;54,00;55,00;56,00;57,00;59,00;53,00;52,00;
Municipios;1163;Pozuelo del Rey;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1179;Prádena del Rincón;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1185;Puebla de la Sierra;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;9020;Puentes Viejas;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;
Municipios;1198;Quijorna;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1202;Rascafría;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;
Municipios;1219;Redueña;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1224;Ribatejada;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1230;Rivas-Vaciamadrid;24,00;24,00;24,00;24,00;25,00;26,00;26,00;25,00;25,00;33,00;33,00;31,00;
Municipios;1245;Robledillo de la Jara;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,00;2,00;2,00;
Municipios;1258;Robledo de Chavela;8,00;8,00;7,00;7,00;7,00;7,00;7,00;7,00;5,00;5,00;4,00;5,00;
Municipios;1261;Robregordo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1277;Rozas de Madrid (Las);23,00;23,00;21,00;21,00;23,00;22,00;24,00;24,00;24,00;25,00;24,00;24,00;
Municipios;1283;Rozas de Puerto Real;2,00;2,00;2,00;2,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;1296;San Agustín del Guadalix;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1300;San Fernando de Henares;8,00;8,00;8,00;8,00;8,00;9,00;9,00;9,00;8,00;8,00;8,00;8,00;
Municipios;1317;San Lorenzo de El Escorial;11,00;10,00;10,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;
Municipios;1338;San Martín de Valdeiglesias;7,00;7,00;7,00;7,00;7,00;8,00;7,00;6,00;6,00;7,00;7,00;7,00;
Municipios;1322;San Martín de la Vega;3,00;3,00;3,00;5,00;4,00;4,00;4,00;4,00;5,00;5,00;3,00;4,00;
Municipios;1343;San Sebastián de los Reyes;38,00;38,00;39,00;40,00;40,00;42,00;43,00;43,00;42,00;42,00;42,00;42,00;
Municipios;1356;Santa María de la Alameda;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1369;Santorcaz;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;1,00;1,00;1,00;
Municipios;1375;Santos de la Humosa (Los);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1381;Serna del Monte (La);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1408;Serranillos del Valle;6,00;6,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;
Municipios;1415;Sevilla la Nueva;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;7,00;7,00;7,00;
Municipios;1436;Somosierra;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;2,00;2,00;2,00;2,00;
Municipios;1441;Soto del Real;5,00;5,00;5,00;5,00;5,00;5,00;6,00;5,00;4,00;4,00;4,00;4,00;
Municipios;1454;Talamanca de Jarama;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;1467;Tielmes;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;1473;Titulcia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1489;Torrejón de Ardoz;21,00;21,00;22,00;23,00;23,00;23,00;23,00;27,00;27,00;28,00;28,00;28,00;
Municipios;1505;Torrejón de Velasco;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1492;Torrejón de la Calzada;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1512;Torrelaguna;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1527;Torrelodones;13,00;13,00;13,00;14,00;14,00;16,00;17,00;17,00;17,00;17,00;14,00;14,00;
Municipios;1533;Torremocha de Jarama;3,00;3,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;
Municipios;1548;Torres de la Alameda;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;
Municipios;9036;Tres Cantos;15,00;16,00;17,00;17,00;17,00;17,00;18,00;17,00;18,00;18,00;19,00;19,00;
Municipios;1551;Valdaracete;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1564;Valdeavero;1,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1570;Valdelaguna;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;
Municipios;1586;Valdemanco;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
Municipios;1599;Valdemaqueda;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1603;Valdemorillo;2,00;1,00;1,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;1,00;
Municipios;1610;Valdemoro;17,00;18,00;19,00;18,00;19,00;18,00;18,00;15,00;15,00;15,00;15,00;16,00;
Municipios;1625;Valdeolmos-Alalpardo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;
Municipios;1631;Valdepiélagos;1,00;1,00;1,00;1,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1646;Valdetorres de Jarama;4,00;4,00;4,00;4,00;1,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;1659;Valdilecha;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1662;Valverde de Alcalá;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;
Municipios;1678;Velilla de San Antonio;0,00;0,00;0,00;0,00;0,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1684;Vellón (El);1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;
Municipios;1697;Venturada;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;1718;Villa del Prado;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;1701;Villaconejos;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;1,00;1,00;1,00;
Municipios;1723;Villalbilla;4,00;4,00;4,00;4,00;5,00;5,00;5,00;6,00;6,00;6,00;7,00;6,00;
Municipios;1739;Villamanrique de Tajo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1744;Villamanta;5,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;1757;Villamantilla;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1782;Villanueva de Perales;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;1760;Villanueva de la Cañada;10,00;10,00;11,00;11,00;11,00;12,00;12,00;10,00;10,00;10,00;10,00;10,00;
Municipios;1776;Villanueva del Pardillo;3,00;3,00;4,00;4,00;6,00;6,00;6,00;6,00;7,00;7,00;7,00;6,00;
Municipios;1795;Villar del Olmo;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;1809;Villarejo de Salvanés;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;1816;Villaviciosa de Odón;10,00;10,00;10,00;10,00;10,00;10,00;11,00;11,00;11,00;11,00;13,00;14,00;
Municipios;1821;Villavieja del Lozoya;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;
Municipios;1837;Zarzalejo;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
