Nombre,nombre_norm,coincide_con_geojson
Horcajuelo de la Sierra,horcajuelo de la sierra,✅ SÍ
Hoyo de Manzanares,hoyo de manzanares,✅ SÍ
Humanes de Madrid,humanes de madrid,✅ SÍ
Leganés,leganes,✅ SÍ
Loeches,loeches,✅ SÍ
Lozoya,lozoya,✅ SÍ
Lozoyuela-Navas-Sieteiglesias,lozoyuela-navas-sieteiglesias,✅ SÍ
Madarcos,madarcos,✅ SÍ
Majadahonda,majadahonda,✅ SÍ
Manzanares el Real,manzanares el real,✅ SÍ
Meco,meco,✅ SÍ
Mejorada del Campo,mejorada del campo,✅ SÍ
Miraflores de la Sierra,miraflores de la sierra,✅ SÍ
Molar (El),el molar,✅ SÍ
Molinos (Los),los molinos,✅ SÍ
Montejo de la Sierra,montejo de la sierra,✅ SÍ
Moraleja de Enmedio,moraleja de enmedio,✅ SÍ
Moralzarzal,moralzarzal,✅ SÍ
Morata de Tajuña,morata de tajuna,✅ SÍ
Móstoles,mostoles,✅ SÍ
Navacerrada,navacerrada,✅ SÍ
Navalafuente,navalafuente,✅ SÍ
Navalagamella,navalagamella,✅ SÍ
Navalcarnero,navalcarnero,✅ SÍ
Navarredonda y San Mamés,navarredonda y san mames,✅ SÍ
Navas del Rey,navas del rey,✅ SÍ
Nuevo Baztán,nuevo baztan,✅ SÍ
Olmeda de las Fuentes,olmeda de las fuentes,✅ SÍ
Orusco de Tajuña,orusco de tajuna,✅ SÍ
Paracuellos de Jarama,paracuellos de jarama,✅ SÍ
Parla,parla,✅ SÍ
Patones,patones,✅ SÍ
Pedrezuela,pedrezuela,✅ SÍ
Pelayos de la Presa,pelayos de la presa,✅ SÍ
Perales de Tajuña,perales de tajuna,✅ SÍ
Pezuela de las Torres,pezuela de las torres,✅ SÍ
Pinilla del Valle,pinilla del valle,✅ SÍ
Pinto,pinto,✅ SÍ
Piñuécar-Gandullas,pinuecar-gandullas,✅ SÍ
Pozuelo de Alarcón,pozuelo de alarcon,✅ SÍ
Pozuelo del Rey,pozuelo del rey,✅ SÍ
Prádena del Rincón,pradena del rincon,✅ SÍ
Puebla de la Sierra,puebla de la sierra,✅ SÍ
Puentes Viejas,puentes viejas,✅ SÍ
Quijorna,quijorna,✅ SÍ
Rascafría,rascafria,✅ SÍ
Redueña,reduena,✅ SÍ
Ribatejada,ribatejada,✅ SÍ
Rivas-Vaciamadrid,rivas-vaciamadrid,✅ SÍ
Robledillo de la Jara,robledillo de la jara,✅ SÍ
Robledo de Chavela,robledo de chavela,✅ SÍ
Robregordo,robregordo,✅ SÍ
Rozas de Madrid (Las),las rozas de madrid,✅ SÍ
Rozas de Puerto Real,rozas de puerto real,✅ SÍ
San Agustín del Guadalix,san agustin del guadalix,✅ SÍ
San Fernando de Henares,san fernando de henares,✅ SÍ
San Lorenzo de El Escorial,san lorenzo de el escorial,✅ SÍ
San Martín de Valdeiglesias,san martin de valdeiglesias,✅ SÍ
San Martín de la Vega,san martin de la vega,✅ SÍ
San Sebastián de los Reyes,san sebastian de los reyes,✅ SÍ
Santa María de la Alameda,santa maria de la alameda,✅ SÍ
Santorcaz,santorcaz,✅ SÍ
Santos de la Humosa (Los),los santos de la humosa,✅ SÍ
Serna del Monte (La),la serna del monte,✅ SÍ
Serranillos del Valle,serranillos del valle,✅ SÍ
Sevilla la Nueva,sevilla la nueva,✅ SÍ
Somosierra,somosierra,✅ SÍ
Soto del Real,soto del real,✅ SÍ
Talamanca de Jarama,talamanca de jarama,✅ SÍ
Tielmes,tielmes,✅ SÍ
Titulcia,titulcia,✅ SÍ
Torrejón de Ardoz,torrejon de ardoz,✅ SÍ
Torrejón de Velasco,torrejon de velasco,✅ SÍ
Torrejón de la Calzada,torrejon de la calzada,✅ SÍ
Torrelaguna,torrelaguna,✅ SÍ
Torrelodones,torrelodones,✅ SÍ
Torremocha de Jarama,torremocha de jarama,✅ SÍ
Torres de la Alameda,torres de la alameda,✅ SÍ
Tres Cantos,tres cantos,✅ SÍ
Valdaracete,valdaracete,✅ SÍ
Valdeavero,valdeavero,✅ SÍ
Valdelaguna,valdelaguna,✅ SÍ
Valdemanco,valdemanco,✅ SÍ
Valdemaqueda,valdemaqueda,✅ SÍ
Valdemorillo,valdemorillo,✅ SÍ
Valdemoro,valdemoro,✅ SÍ
Valdeolmos-Alalpardo,valdeolmos-alalpardo,✅ SÍ
Valdepiélagos,valdepielagos,✅ SÍ
Valdetorres de Jarama,valdetorres de jarama,✅ SÍ
Valdilecha,valdilecha,✅ SÍ
Valverde de Alcalá,valverde de alcala,✅ SÍ
Velilla de San Antonio,velilla de san antonio,✅ SÍ
Vellón (El),el vellon,✅ SÍ
Venturada,venturada,✅ SÍ
Villa del Prado,villa del prado,✅ SÍ
Villaconejos,villaconejos,✅ SÍ
Villalbilla,villalbilla,✅ SÍ
Villamanrique de Tajo,villamanrique de tajo,✅ SÍ
Villamanta,villamanta,✅ SÍ
Villamantilla,villamantilla,✅ SÍ
Villanueva de Perales,villanueva de perales,✅ SÍ
Villanueva de la Cañada,villanueva de la canada,✅ SÍ
Villanueva del Pardillo,villanueva del pardillo,✅ SÍ
Villar del Olmo,villar del olmo,✅ SÍ
Villarejo de Salvanés,villarejo de salvanes,✅ SÍ
Villaviciosa de Odón,villaviciosa de odon,✅ SÍ
Villavieja del Lozoya,villavieja del lozoya,✅ SÍ
Zarzalejo,zarzalejo,✅ SÍ
