Serie;id;Nombre;2024;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;1.339,00;
Municipios;0783;Madarcos;93,00;
Municipios;0796;Madrid;1.533.221,00;
Municipios;0800;Majadahonda;25.577,00;
Municipios;0822;Manzanares el Real;5.532,00;
Municipios;0838;Meco;5.431,00;
Municipios;0843;Mejorada del Campo;9.163,00;
Municipios;0856;Miraflores de la Sierra;4.865,00;
Municipios;0869;Molar (El);4.405,00;
Municipios;0875;Molinos (Los);2.837,00;
Municipios;0881;Montejo de la Sierra;392,00;
Municipios;0894;Moraleja de Enmedio;1.989,00;
Municipios;0908;Moralzarzal;6.085,00;
Municipios;0915;Morata de Tajuña;3.678,00;
Municipios;0920;Móstoles;82.103,00;
Municipios;0936;Navacerrada;2.454,00;
Municipios;0941;Navalafuente;1.175,00;
Municipios;0954;Navalagamella;1.490,00;
Municipios;0967;Navalcarnero;12.156,00;
Municipios;0973;Navarredonda y San Mamés;309,00;
Municipios;0992;Navas del Rey;1.715,00;
Municipios;1006;Nuevo Baztán;3.503,00;
Municipios;1013;Olmeda de las Fuentes;297,00;
Municipios;1028;Orusco de Tajuña;1.030,00;
Municipios;1049;Paracuellos de Jarama;9.607,00;
Municipios;1065;Parla;47.256,00;
Municipios;1071;Patones;399,00;
Municipios;1087;Pedrezuela;3.225,00;
Municipios;1090;Pelayos de la Presa;2.586,00;
Municipios;1104;Perales de Tajuña;1.770,00;
Municipios;1111;Pezuela de las Torres;730,00;
Municipios;1126;Pinilla del Valle;307,00;
Municipios;1132;Pinto;21.507,00;
Municipios;1147;Piñuécar-Gandullas;255,00;
Municipios;1150;Pozuelo de Alarcón;32.327,00;
Municipios;1163;Pozuelo del Rey;642,00;
Municipios;1179;Prádena del Rincón;206,00;
Municipios;1185;Puebla de la Sierra;166,00;
Municipios;9020;Puentes Viejas;846,00;
Municipios;1198;Quijorna;1.594,00;
Municipios;1202;Rascafría;1.720,00;
Municipios;1219;Redueña;196,00;
Municipios;1224;Ribatejada;639,00;
Municipios;1230;Rivas-Vaciamadrid;35.980,00;
Municipios;1245;Robledillo de la Jara;181,00;
Municipios;1258;Robledo de Chavela;3.478,00;
Municipios;1261;Robregordo;158,00;
Municipios;1277;Rozas de Madrid (Las);35.404,00;
Municipios;1283;Rozas de Puerto Real;692,00;
Municipios;1296;San Agustín del Guadalix;5.071,00;
Municipios;1300;San Fernando de Henares;15.621,00;
Municipios;1317;San Lorenzo de El Escorial;9.925,00;
Municipios;1338;San Martín de Valdeiglesias;5.817,00;
Municipios;1322;San Martín de la Vega;7.629,00;
Municipios;1343;San Sebastián de los Reyes;36.032,00;
Municipios;1356;Santa María de la Alameda;1.946,00;
Municipios;1369;Santorcaz;616,00;
Municipios;1375;Santos de la Humosa (Los);1.263,00;
Municipios;1381;Serna del Monte (La);125,00;
Municipios;1408;Serranillos del Valle;1.707,00;
Municipios;1415;Sevilla la Nueva;3.780,00;
Municipios;1436;Somosierra;101,00;
Municipios;1441;Soto del Real;4.732,00;
Municipios;1454;Talamanca de Jarama;2.047,00;
Municipios;1467;Tielmes;1.502,00;
Municipios;1473;Titulcia;693,00;
Municipios;1489;Torrejón de Ardoz;50.494,00;
Municipios;1505;Torrejón de Velasco;1.923,00;
Municipios;1492;Torrejón de la Calzada;3.352,00;
Municipios;1512;Torrelaguna;2.778,00;
Municipios;1527;Torrelodones;8.857,00;
Municipios;1533;Torremocha de Jarama;639,00;
Municipios;1548;Torres de la Alameda;2.948,00;
Municipios;9036;Tres Cantos;18.542,00;
Municipios;1551;Valdaracete;588,00;
Municipios;1564;Valdeavero;948,00;
Municipios;1570;Valdelaguna;781,00;
Municipios;1586;Valdemanco;816,00;
Municipios;1599;Valdemaqueda;854,00;
Municipios;1603;Valdemorillo;7.154,00;
Municipios;1610;Valdemoro;28.896,00;
Municipios;1625;Valdeolmos-Alalpardo;1.811,00;
Municipios;1631;Valdepiélagos;351,00;
Municipios;1646;Valdetorres de Jarama;2.289,00;
Municipios;1659;Valdilecha;1.592,00;
Municipios;1662;Valverde de Alcalá;294,00;
Municipios;1678;Velilla de San Antonio;4.569,00;
Municipios;1684;Vellón (El);1.463,00;
Municipios;1697;Venturada;1.397,00;
Municipios;1718;Villa del Prado;4.379,00;
Municipios;1701;Villaconejos;1.686,00;
Municipios;1723;Villalbilla;6.364,00;
Municipios;1739;Villamanrique de Tajo;662,00;
Municipios;1744;Villamanta;1.305,00;
Municipios;1757;Villamantilla;766,00;
Municipios;1782;Villanueva de Perales;783,00;
Municipios;1760;Villanueva de la Cañada;8.559,00;
Municipios;1776;Villanueva del Pardillo;5.886,00;
Municipios;1795;Villar del Olmo;1.230,00;
Municipios;1809;Villarejo de Salvanés;3.794,00;
Municipios;1816;Villaviciosa de Odón;11.252,00;
Municipios;1821;Villavieja del Lozoya;476,00;
Municipios;1837;Zarzalejo;1.221,00;
