Serie;id;Nombre;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Municipios;0133;Aranjuez;6;6;7;7;7;7;7;8;8;8;8;8;8;9;10;11;11;10;11;11;9;9;10;12;10;22;22;26;25;10;12;
Municipios;0148;Arganda del Rey;14;15;15;16;16;18;18;20;19;19;19;21;22;22;22;25;25;24;24;23;20;20;21;21;21;21;21;22;22;22;22;
Municipios;0151;Arroyomolinos;1;1;2;2;2;2;2;3;3;3;3;3;2;2;3;5;5;5;5;5;10;10;5;5;5;6;7;7;8;8;9;
Municipios;0164;Atazar (El);0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;
Municipios;0170;Batres;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;0186;Becerril de la Sierra;1;1;1;1;1;3;3;3;3;3;3;4;4;4;4;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;
Municipios;0199;Belmonte de Tajo;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;0210;Berrueco (El);2;2;2;2;2;2;2;3;4;3;4;4;4;4;2;2;4;4;4;4;4;4;4;2;4;3;3;3;3;3;3;
Municipios;0203;Berzosa del Lozoya;1;1;1;1;1;2;2;1;2;2;2;2;2;2;4;4;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;
Municipios;0225;Boadilla del Monte;6;6;7;8;8;8;8;8;8;8;8;9;10;10;11;12;12;11;12;11;10;10;10;10;10;12;12;13;12;12;13;
Municipios;0231;Boalo (El);3;3;3;3;3;3;3;3;3;3;3;3;6;6;6;7;7;5;7;7;4;4;6;6;6;6;6;6;6;6;6;
Municipios;0246;Braojos;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;
Municipios;0259;Brea de Tajo;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0262;Brunete;5;5;5;5;5;5;5;5;5;5;6;7;7;6;6;6;6;6;6;7;6;6;6;6;6;6;7;8;8;7;7;
Municipios;0278;Buitrago del Lozoya;3;3;3;3;3;8;8;11;11;11;11;11;12;12;12;12;14;11;12;12;10;10;12;12;12;13;13;13;13;13;13;
Municipios;0284;Bustarviejo;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Municipios;0297;Cabanillas de la Sierra;6;6;5;5;5;5;5;6;6;6;6;6;6;6;6;6;8;7;7;7;7;7;7;7;7;6;6;6;6;6;6;
Municipios;0301;Cabrera (La);6;6;5;5;5;5;5;6;6;6;7;7;7;7;8;8;9;8;8;8;9;9;9;9;9;8;8;8;8;8;8;
Municipios;0318;Cadalso de los Vidrios;3;3;3;3;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0323;Camarma de Esteruelas;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0339;Campo Real;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;0344;Canencia;1;1;1;1;1;1;1;1;1;2;2;2;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Municipios;0357;Carabaña;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0360;Casarrubuelos;1;1;2;2;2;2;2;2;3;3;4;4;3;3;3;3;3;3;3;2;4;4;2;2;2;2;2;2;2;2;2;
Municipios;0376;Cenicientos;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0382;Cercedilla;2;2;2;2;2;2;2;2;2;2;2;4;3;5;4;4;5;5;5;5;4;4;5;4;4;4;4;6;5;5;7;
Municipios;0395;Cervera de Buitrago;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0513;Chapinería;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Municipios;0528;Chinchón;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
Municipios;0409;Ciempozuelos;2;2;2;2;2;4;4;4;4;5;5;5;6;6;6;7;7;6;7;7;6;6;7;7;6;7;7;9;7;7;9;
Municipios;0416;Cobeña;2;2;3;3;3;3;3;3;3;3;4;4;3;3;3;5;5;2;3;3;3;3;4;4;4;4;4;4;4;5;6;
Municipios;0468;Collado Mediano;1;1;1;1;1;1;1;1;2;2;2;3;3;3;3;5;5;4;4;4;3;3;7;7;7;7;9;10;9;9;10;
Municipios;0474;Collado Villalba;13;13;14;14;14;14;14;16;16;17;17;19;27;27;27;27;27;24;27;28;20;20;26;26;26;27;27;30;27;27;30;
Municipios;0455;Colmenar Viejo;7;7;8;8;8;8;8;17;17;18;19;19;21;21;22;24;25;24;25;25;24;24;24;24;24;23;21;23;22;22;23;
Municipios;0437;Colmenar de Oreja;2;2;2;1;2;2;2;3;3;3;3;3;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
Municipios;0421;Colmenar del Arroyo;1;1;1;2;1;1;1;1;1;1;1;2;2;2;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0442;Colmenarejo;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;5;5;3;3;4;5;4;4;6;6;6;6;5;
Municipios;0480;Corpa;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;
Municipios;0493;Coslada;9;10;9;9;9;10;10;11;12;12;12;12;13;13;13;14;14;12;14;14;12;12;14;16;15;15;15;19;15;16;20;
Municipios;0506;Cubas de la Sagra;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;
Municipios;0534;Daganzo de Arriba;2;2;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;4;4;3;3;4;4;4;4;4;5;5;5;6;
Municipios;0549;Escorial (El);2;4;8;8;8;10;10;10;11;11;12;12;12;12;12;13;13;14;15;14;14;14;14;13;13;13;14;15;14;14;15;
Municipios;0552;Estremera;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;0565;Fresnedillas de la Oliva;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;
Municipios;0571;Fresno de Torote;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;
Municipios;0587;Fuenlabrada;19;19;17;15;15;17;20;22;23;24;24;25;24;25;25;25;25;21;26;27;22;22;25;25;26;27;27;31;28;28;32;
Municipios;0590;Fuente el Saz de Jarama;4;4;2;2;2;2;2;3;3;3;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;3;3;3;3;3;4;
Municipios;0604;Fuentidueña de Tajo;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;
Municipios;0611;Galapagar;4;4;5;5;5;5;5;6;6;6;6;6;7;7;7;10;10;9;10;10;8;8;9;10;9;9;12;15;12;13;15;
Municipios;0626;Garganta de los Montes;1;1;1;1;1;2;2;2;2;2;2;2;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;5;5;5;5;0;5;5;5;5;5;5;5;5;5;
Municipios;0647;Gascones;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0650;Getafe;31;32;27;24;24;31;33;37;37;39;39;39;41;37;38;37;36;31;38;38;31;31;36;37;35;38;38;44;38;36;43;
Municipios;0663;Griñón;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;4;
Municipios;0679;Guadalix de la Sierra;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;4;4;3;3;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0685;Guadarrama;4;4;5;5;5;6;6;6;6;6;6;9;9;9;13;12;12;12;12;10;10;10;11;11;11;11;12;12;12;12;12;
Municipios;0698;Hiruela (La);0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;
Municipios;0702;Horcajo de la Sierra-Aoslos;1;1;1;1;1;2;2;4;4;4;4;4;4;4;4;4;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0719;Horcajuelo de la Sierra;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;4;4;2;2;2;3;3;2;2;2;2;2;2;2;2;2;
Municipios;0724;Hoyo de Manzanares;1;1;1;1;1;1;1;1;1;2;2;2;2;6;5;3;3;3;3;3;4;4;4;5;5;4;5;5;5;5;4;
Municipios;0730;Humanes de Madrid;2;2;2;2;2;4;4;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;6;6;8;
Municipios;0745;Leganés;18;18;17;17;17;20;21;21;19;19;19;19;19;20;21;21;21;16;34;24;24;24;23;24;24;24;24;28;24;24;28;
Municipios;0758;Loeches;5;5;3;3;3;3;3;3;3;3;3;3;4;4;4;5;5;4;5;5;4;4;5;5;5;5;5;5;5;5;5;
Municipios;0761;Lozoya;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5;5;5;5;5;5;5;6;6;6;6;6;7;7;7;7;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
Municipios;0783;Madarcos;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;
Municipios;0796;Madrid;0;0;0;0;0;0;0;0;209;213;216;221;236;237;243;252;251;413;415;415;387;387;440;443;442;465;475;514;493;471;503;
Municipios;0800;Majadahonda;9;11;10;11;11;14;14;14;14;18;18;18;18;18;18;22;25;23;27;29;24;24;26;27;26;27;31;34;33;33;35;
Municipios;0822;Manzanares el Real;1;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;
Municipios;0838;Meco;2;2;1;1;1;2;2;1;3;3;4;4;3;3;4;4;5;6;6;4;5;5;3;3;2;2;3;6;4;4;5;
Municipios;0843;Mejorada del Campo;5;5;6;5;5;5;6;6;6;6;6;6;6;6;6;7;7;6;7;7;6;6;7;7;7;7;7;7;7;7;7;
Municipios;0856;Miraflores de la Sierra;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;
Municipios;0869;Molar (El);7;7;6;6;6;6;6;7;7;7;7;7;7;7;8;8;10;9;9;8;8;8;8;8;8;7;8;8;8;8;8;
Municipios;0875;Molinos (Los);2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;4;4;4;5;
Municipios;0881;Montejo de la Sierra;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;2;2;4;4;4;4;4;4;4;4;4;
Municipios;0894;Moraleja de Enmedio;2;2;2;2;2;2;2;4;4;4;4;4;3;3;3;5;5;5;4;4;4;4;4;4;4;4;5;5;5;6;6;
Municipios;0908;Moralzarzal;3;3;3;3;3;4;4;4;4;4;4;4;7;7;7;7;7;5;7;7;5;5;8;8;8;8;8;8;8;8;8;
Municipios;0915;Morata de Tajuña;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
Municipios;0920;Móstoles;22;22;25;24;24;25;25;28;26;27;27;28;30;33;30;37;34;29;34;37;30;30;35;37;36;39;40;46;45;39;41;
Municipios;0936;Navacerrada;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;4;4;4;4;4;2;2;3;3;3;3;3;3;3;3;3;
Municipios;0941;Navalafuente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0954;Navalagamella;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;0967;Navalcarnero;12;12;13;13;13;14;14;15;14;14;14;14;15;15;15;17;17;15;17;17;15;15;16;16;15;17;18;21;22;16;15;
Municipios;0973;Navarredonda y San Mamés;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;3;3;3;3;4;4;4;4;3;4;4;4;4;4;4;
Municipios;0992;Navas del Rey;2;2;1;3;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Municipios;1006;Nuevo Baztán;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;1013;Olmeda de las Fuentes;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;1028;Orusco de Tajuña;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;1049;Paracuellos de Jarama;2;2;3;3;3;3;3;5;5;3;5;5;5;5;6;7;7;2;7;7;2;2;7;8;7;8;10;11;11;11;11;
Municipios;1065;Parla;16;16;10;10;10;10;12;12;12;13;14;14;14;15;16;15;16;15;16;14;13;13;14;14;12;14;14;18;14;12;16;
Municipios;1071;Patones;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;
Municipios;1087;Pedrezuela;1;1;1;1;1;1;1;1;8;8;8;8;8;3;4;4;9;8;8;9;9;9;9;9;9;8;9;9;9;9;9;
Municipios;1090;Pelayos de la Presa;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Municipios;1104;Perales de Tajuña;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;
Municipios;1111;Pezuela de las Torres;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;9;2;2;2;2;2;2;2;2;
Municipios;1126;Pinilla del Valle;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1132;Pinto;6;6;6;6;6;13;13;13;13;15;15;15;15;16;16;15;15;14;16;15;14;14;15;15;14;26;27;29;27;15;18;
Municipios;1147;Piñuécar-Gandullas;1;1;1;1;1;2;2;5;5;5;5;5;5;5;5;5;5;3;6;6;4;4;6;6;6;7;7;7;7;7;7;
Municipios;1150;Pozuelo de Alarcón;13;15;16;20;20;23;23;22;22;22;22;22;24;23;25;30;30;24;30;31;22;22;30;30;30;30;32;37;36;36;40;
Municipios;1163;Pozuelo del Rey;3;3;3;3;3;3;3;3;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1179;Prádena del Rincón;1;1;1;1;1;2;2;4;4;4;4;4;4;4;4;4;4;2;4;4;2;2;4;4;4;4;4;4;4;4;4;
Municipios;1185;Puebla de la Sierra;0;0;2;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;
Municipios;9020;Puentes Viejas;2;0;2;1;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
Municipios;1198;Quijorna;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Municipios;1202;Rascafría;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;
Municipios;1219;Redueña;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;3;3;3;4;4;4;3;3;3;3;3;3;
Municipios;1224;Ribatejada;1;1;1;1;1;2;2;2;2;2;3;3;3;3;3;3;3;2;3;3;2;2;3;3;3;3;3;3;3;3;3;
Municipios;1230;Rivas-Vaciamadrid;6;6;6;6;6;14;13;18;18;18;19;20;25;25;25;28;28;23;27;26;20;20;24;24;24;23;24;25;24;24;25;
Municipios;1245;Robledillo de la Jara;1;1;1;1;1;2;2;2;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;1258;Robledo de Chavela;1;1;2;1;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;5;5;6;
Municipios;1261;Robregordo;1;1;1;1;1;2;2;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1277;Rozas de Madrid (Las);19;19;25;25;25;23;25;26;26;28;27;35;35;36;36;38;37;36;39;43;40;40;42;43;42;42;40;44;40;40;45;
Municipios;1283;Rozas de Puerto Real;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Municipios;1296;San Agustín del Guadalix;8;8;7;10;7;7;7;8;8;8;8;8;8;8;8;9;9;8;8;8;8;8;8;8;8;7;8;8;8;8;8;
Municipios;1300;San Fernando de Henares;9;9;10;8;10;15;15;16;18;18;19;21;19;19;21;22;22;18;21;22;20;20;20;22;20;23;23;24;23;21;22;
Municipios;1317;San Lorenzo de El Escorial;5;7;8;5;8;9;9;10;10;10;11;11;11;11;11;12;12;13;14;13;13;13;13;13;13;13;14;14;14;14;14;
Municipios;1338;San Martín de Valdeiglesias;2;2;1;1;1;1;1;1;1;1;1;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;
Municipios;1322;San Martín de la Vega;5;5;5;5;5;5;5;5;6;7;7;7;7;7;7;7;7;6;7;8;8;8;8;8;8;8;9;9;9;9;9;
Municipios;1343;San Sebastián de los Reyes;27;31;25;25;28;30;31;33;36;36;36;35;36;36;35;36;37;31;37;35;29;29;33;34;34;32;34;35;34;34;34;
Municipios;1356;Santa María de la Alameda;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;
Municipios;1369;Santorcaz;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;
Municipios;1375;Santos de la Humosa (Los);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Municipios;1381;Serna del Monte (La);2;2;2;1;2;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;1408;Serranillos del Valle;1;1;1;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1415;Sevilla la Nueva;3;3;3;3;3;3;3;3;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Municipios;1436;Somosierra;1;1;1;2;1;2;2;9;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1441;Soto del Real;2;2;2;2;2;3;3;3;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;6;6;6;6;
Municipios;1454;Talamanca de Jarama;4;4;2;2;2;2;2;1;2;2;1;1;1;1;1;1;2;2;2;3;3;3;3;3;3;2;2;2;2;2;3;
Municipios;1467;Tielmes;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1473;Titulcia;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1489;Torrejón de Ardoz;8;8;11;12;13;17;18;18;16;16;16;17;16;16;18;19;18;18;20;20;16;16;17;17;17;20;21;24;21;20;23;
Municipios;1505;Torrejón de Velasco;4;4;2;2;3;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1492;Torrejón de la Calzada;8;8;5;5;5;5;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;4;6;6;6;6;4;4;
Municipios;1512;Torrelaguna;4;4;2;2;2;3;3;3;3;3;5;5;5;6;6;6;7;6;7;8;7;7;8;8;8;7;7;7;7;7;8;
Municipios;1527;Torrelodones;8;8;8;7;7;9;10;10;10;12;9;13;17;17;20;20;20;18;23;22;19;19;21;22;22;21;21;24;21;21;23;
Municipios;1533;Torremocha de Jarama;1;1;1;1;1;1;1;2;2;3;3;3;3;3;3;3;3;2;3;3;2;2;3;3;3;3;3;3;3;3;3;
Municipios;1548;Torres de la Alameda;7;7;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;
Municipios;9036;Tres Cantos;5;5;5;5;6;11;11;14;14;14;14;14;17;17;17;17;17;13;17;17;13;13;17;17;17;17;18;19;18;18;20;
Municipios;1551;Valdaracete;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1564;Valdeavero;2;2;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;2;3;3;2;2;3;3;3;3;3;3;3;3;3;
Municipios;1570;Valdelaguna;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1586;Valdemanco;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;
Municipios;1599;Valdemaqueda;1;1;2;0;2;2;2;2;3;3;3;3;3;3;3;4;3;3;3;2;2;2;2;2;2;2;2;3;3;3;3;
Municipios;1603;Valdemorillo;4;4;6;5;5;5;5;6;6;6;6;6;11;11;11;11;11;11;11;11;6;6;6;6;6;7;8;7;7;7;8;
Municipios;1610;Valdemoro;8;8;9;9;9;11;11;11;12;12;13;14;15;17;17;20;20;17;19;19;16;16;18;20;19;31;31;33;31;19;21;
Municipios;1625;Valdeolmos-Alalpardo;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1631;Valdepiélagos;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1646;Valdetorres de Jarama;4;4;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;3;
Municipios;1659;Valdilecha;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;
Municipios;1662;Valverde de Alcalá;3;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1678;Velilla de San Antonio;3;3;3;2;3;3;3;3;3;3;3;3;4;4;4;5;5;4;5;5;4;4;5;5;6;6;6;6;6;6;6;
Municipios;1684;Vellón (El);2;2;2;2;2;8;8;8;3;3;3;3;2;4;4;4;4;4;4;5;6;6;4;4;4;4;5;5;5;5;5;
Municipios;1697;Venturada;6;6;5;4;5;6;6;7;7;7;8;8;8;9;9;9;9;8;8;8;8;8;8;8;8;7;8;8;8;8;8;
Municipios;1718;Villa del Prado;4;4;4;4;4;4;4;4;4;4;4;5;5;5;3;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;
Municipios;1701;Villaconejos;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;
Municipios;1723;Villalbilla;11;11;9;9;9;9;9;9;8;8;8;8;8;8;8;9;9;9;8;8;6;6;6;6;6;6;6;7;7;8;8;
Municipios;1739;Villamanrique de Tajo;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;1744;Villamanta;6;6;6;1;1;1;1;6;6;6;6;6;6;7;6;7;7;6;7;7;5;5;5;5;4;5;5;5;5;5;4;
Municipios;1757;Villamantilla;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Municipios;1782;Villanueva de Perales;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;3;3;2;
