Serie;id;Nombre;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Municipios;0151;Arroyomolinos;1,00;1,00;3,00;9,00;15,00;15,00;18,00;30,00;32,00;32,00;43,00;42,00;43,00;56,00;55,00;77,00;77,00;78,00;85,00;85,00;87,00;91,00;91,00;108,00;104,00;104,00;104,00;104,00;104,00;101,00;105,00;
Municipios;0164;Atazar (El);1,00;1,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0170;Batres;1,00;1,00;1,00;1,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;12,00;12,00;11,00;11,00;11,00;15,00;14,00;14,00;14,00;14,00;15,00;14,00;14,00;14,00;14,00;14,00;12,00;12,00;
Municipios;0186;Becerril de la Sierra;14,00;14,00;14,00;14,00;14,00;15,00;15,00;15,00;15,00;16,00;16,00;16,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;
Municipios;0199;Belmonte de Tajo;1,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;4,00;4,00;4,00;4,00;4,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,00;
Municipios;0210;Berrueco (El);2,00;2,00;6,00;6,00;6,00;6,00;6,00;6,00;2,00;2,00;6,00;6,00;6,00;6,00;2,00;2,00;6,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;
Municipios;0203;Berzosa del Lozoya;4,00;4,00;2,00;2,00;2,00;2,00;2,00;2,00;6,00;6,00;2,00;2,00;2,00;2,00;6,00;6,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;0225;Boadilla del Monte;126,00;126,00;125,00;128,00;129,00;135,00;155,00;161,00;164,00;177,00;179,00;149,00;170,00;170,00;185,00;184,00;184,00;178,00;200,00;181,00;176,00;178,00;178,00;232,00;192,00;192,00;193,00;199,00;197,00;201,00;197,00;
Municipios;0231;Boalo (El);18,00;18,00;24,00;24,00;24,00;24,00;24,00;24,00;25,00;25,00;26,00;25,00;26,00;27,00;30,00;30,00;30,00;30,00;34,00;31,00;31,00;31,00;31,00;39,00;30,00;30,00;30,00;30,00;29,00;29,00;29,00;
Municipios;0246;Braojos;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0259;Brea de Tajo;1,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;5,00;5,00;5,00;5,00;5,00;5,00;3,00;5,00;5,00;3,00;5,00;5,00;5,00;5,00;3,00;3,00;3,00;
Municipios;0262;Brunete;20,00;20,00;27,00;27,00;27,00;27,00;32,00;34,00;34,00;36,00;40,00;25,00;26,00;26,00;26,00;26,00;26,00;27,00;27,00;25,00;26,00;22,00;22,00;42,00;22,00;22,00;24,00;24,00;31,00;29,00;31,00;
Municipios;0278;Buitrago del Lozoya;1,00;1,00;1,00;1,00;1,00;1,00;2,00;6,00;6,00;6,00;6,00;6,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;9,00;9,00;
Municipios;0284;Bustarviejo;1,00;1,00;3,00;3,00;3,00;9,00;9,00;12,00;12,00;12,00;13,00;13,00;13,00;16,00;16,00;16,00;16,00;19,00;19,00;18,00;18,00;18,00;18,00;21,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;
Municipios;0297;Cabanillas de la Sierra;2,00;2,00;2,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;8,00;8,00;8,00;8,00;
Municipios;0301;Cabrera (La);2,00;2,00;4,00;4,00;4,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;8,00;8,00;8,00;8,00;8,00;10,00;10,00;10,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;
Municipios;0318;Cadalso de los Vidrios;2,00;2,00;2,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;5,00;2,00;6,00;8,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;12,00;11,00;11,00;11,00;11,00;11,00;11,00;13,00;
Municipios;0323;Camarma de Esteruelas;6,00;6,00;8,00;8,00;13,00;13,00;13,00;13,00;18,00;18,00;18,00;18,00;21,00;21,00;21,00;23,00;23,00;21,00;21,00;19,00;19,00;19,00;19,00;22,00;20,00;19,00;19,00;21,00;21,00;21,00;21,00;
Municipios;0339;Campo Real;7,00;7,00;8,00;8,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;7,00;8,00;8,00;7,00;7,00;9,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;
Municipios;0344;Canencia;2,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0357;Carabaña;4,00;4,00;6,00;6,00;6,00;6,00;6,00;10,00;13,00;13,00;13,00;13,00;14,00;14,00;16,00;16,00;16,00;16,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;
Municipios;0360;Casarrubuelos;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;9,00;11,00;11,00;11,00;11,00;11,00;9,00;9,00;9,00;9,00;9,00;11,00;9,00;9,00;9,00;9,00;9,00;9,00;11,00;
Municipios;0376;Cenicientos;2,00;2,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;2,00;6,00;8,00;10,00;12,00;12,00;14,00;14,00;14,00;14,00;12,00;12,00;14,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;
Municipios;0382;Cercedilla;15,00;15,00;15,00;15,00;11,00;12,00;12,00;12,00;12,00;12,00;12,00;11,00;18,00;44,00;52,00;54,00;55,00;60,00;66,00;62,00;62,00;61,00;61,00;83,00;54,00;59,00;59,00;59,00;59,00;59,00;56,00;
Municipios;0395;Cervera de Buitrago;1,00;1,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;
Municipios;0513;Chapinería;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,00;2,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;1,00;3,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0528;Chinchón;9,00;9,00;9,00;9,00;15,00;15,00;18,00;18,00;18,00;22,00;26,00;26,00;28,00;30,00;30,00;30,00;30,00;38,00;38,00;37,00;38,00;38,00;38,00;38,00;32,00;32,00;31,00;31,00;31,00;31,00;31,00;
Municipios;0409;Ciempozuelos;13,00;13,00;13,00;13,00;13,00;13,00;13,00;16,00;16,00;16,00;16,00;15,00;34,00;38,00;41,00;41,00;45,00;45,00;50,00;44,00;44,00;45,00;45,00;55,00;46,00;45,00;45,00;45,00;45,00;46,00;46,00;
Municipios;0416;Cobeña;6,00;6,00;6,00;6,00;6,00;8,00;8,00;9,00;9,00;9,00;10,00;8,00;10,00;10,00;10,00;19,00;21,00;14,00;14,00;14,00;14,00;14,00;14,00;16,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;
Municipios;0468;Collado Mediano;17,00;17,00;12,00;12,00;13,00;14,00;14,00;14,00;14,00;14,00;14,00;12,00;14,00;16,00;16,00;18,00;18,00;16,00;16,00;14,00;17,00;18,00;16,00;23,00;16,00;16,00;16,00;16,00;17,00;17,00;16,00;
Municipios;0474;Collado Villalba;88,00;88,00;81,00;81,00;79,00;80,00;80,00;82,00;85,00;92,00;92,00;88,00;99,00;100,00;100,00;100,00;100,00;102,00;106,00;104,00;94,00;103,00;107,00;140,00;121,00;122,00;123,00;123,00;123,00;129,00;123,00;
Municipios;0455;Colmenar Viejo;58,00;58,00;59,00;64,00;75,00;73,00;86,00;76,00;77,00;85,00;85,00;79,00;80,00;80,00;80,00;84,00;92,00;102,00;105,00;103,00;99,00;99,00;94,00;121,00;94,00;97,00;117,00;117,00;118,00;123,00;99,00;
Municipios;0437;Colmenar de Oreja;8,00;8,00;6,00;6,00;12,00;12,00;14,00;16,00;18,00;18,00;18,00;18,00;18,00;18,00;19,00;19,00;19,00;19,00;21,00;19,00;19,00;19,00;17,00;21,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;
Municipios;0421;Colmenar del Arroyo;7,00;7,00;7,00;7,00;7,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;9,00;12,00;11,00;11,00;12,00;11,00;11,00;11,00;13,00;14,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;
Municipios;0442;Colmenarejo;3,00;3,00;9,00;9,00;9,00;7,00;19,00;19,00;18,00;18,00;18,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;18,00;17,00;17,00;22,00;22,00;22,00;22,00;22,00;
Municipios;0480;Corpa;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0493;Coslada;96,00;96,00;87,00;87,00;86,00;93,00;105,00;111,00;122,00;122,00;122,00;119,00;130,00;130,00;130,00;143,00;142,00;142,00;152,00;146,00;142,00;148,00;147,00;173,00;146,00;146,00;146,00;146,00;145,00;145,00;145,00;
Municipios;0506;Cubas de la Sagra;2,00;2,00;2,00;2,00;2,00;2,00;4,00;4,00;8,00;8,00;14,00;10,00;10,00;10,00;10,00;10,00;13,00;17,00;17,00;17,00;17,00;17,00;17,00;21,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;
Municipios;0534;Daganzo de Arriba;10,00;10,00;9,00;9,00;9,00;9,00;9,00;14,00;14,00;14,00;14,00;12,00;16,00;12,00;16,00;16,00;16,00;16,00;23,00;16,00;16,00;15,00;15,00;24,00;17,00;18,00;18,00;16,00;17,00;16,00;17,00;
Municipios;0549;Escorial (El);15,00;15,00;13,00;13,00;27,00;35,00;39,00;36,00;36,00;37,00;37,00;37,00;39,00;39,00;39,00;39,00;37,00;37,00;41,00;41,00;39,00;41,00;41,00;44,00;41,00;40,00;40,00;40,00;40,00;43,00;41,00;
Municipios;0552;Estremera;2,00;2,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;4,00;4,00;4,00;4,00;4,00;6,00;7,00;7,00;7,00;7,00;7,00;9,00;9,00;9,00;10,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;
Municipios;0565;Fresnedillas de la Oliva;4,00;4,00;3,00;3,00;3,00;3,00;3,00;7,00;9,00;9,00;9,00;9,00;9,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;16,00;16,00;16,00;16,00;16,00;16,00;
Municipios;0571;Fresno de Torote;10,00;10,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;
Municipios;0587;Fuenlabrada;155,00;155,00;162,00;162,00;166,00;178,00;186,00;196,00;194,00;192,00;193,00;189,00;191,00;208,00;209,00;210,00;210,00;216,00;224,00;231,00;236,00;235,00;230,00;258,00;234,00;235,00;235,00;235,00;237,00;238,00;240,00;
Municipios;0590;Fuente el Saz de Jarama;2,00;2,00;6,00;6,00;6,00;13,00;17,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;16,00;16,00;16,00;18,00;21,00;20,00;20,00;21,00;20,00;20,00;20,00;20,00;21,00;21,00;21,00;
Municipios;0604;Fuentidueña de Tajo;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;6,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;7,00;8,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;
Municipios;0611;Galapagar;57,00;57,00;55,00;55,00;55,00;57,00;72,00;75,00;71,00;71,00;71,00;71,00;73,00;73,00;73,00;74,00;75,00;77,00;80,00;79,00;84,00;79,00;79,00;88,00;80,00;80,00;86,00;87,00;90,00;91,00;90,00;
Municipios;0626;Garganta de los Montes;11,00;11,00;11,00;11,00;11,00;12,00;12,00;12,00;12,00;12,00;12,00;10,00;11,00;11,00;11,00;11,00;11,00;13,00;16,00;13,00;13,00;13,00;13,00;16,00;13,00;14,00;13,00;13,00;13,00;13,00;13,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;8,00;8,00;8,00;8,00;8,00;8,00;10,00;10,00;10,00;10,00;10,00;8,00;8,00;8,00;8,00;8,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;12,00;12,00;12,00;12,00;
Municipios;0647;Gascones;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0650;Getafe;181,00;181,00;197,00;197,00;227,00;227,00;241,00;242,00;247,00;249,00;249,00;240,00;274,00;269,00;271,00;289,00;289,00;298,00;310,00;305,00;313,00;313,00;314,00;378,00;322,00;330,00;330,00;329,00;327,00;341,00;335,00;
Municipios;0663;Griñón;10,00;10,00;7,00;7,00;7,00;7,00;17,00;17,00;24,00;24,00;24,00;22,00;24,00;24,00;26,00;29,00;29,00;29,00;29,00;27,00;27,00;27,00;27,00;34,00;27,00;27,00;27,00;27,00;27,00;27,00;27,00;
Municipios;0679;Guadalix de la Sierra;7,00;7,00;6,00;6,00;6,00;8,00;8,00;8,00;8,00;9,00;9,00;8,00;12,00;12,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;12,00;12,00;14,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;
Municipios;0685;Guadarrama;24,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;26,00;26,00;26,00;26,00;28,00;28,00;85,00;90,00;90,00;90,00;92,00;52,00;51,00;51,00;51,00;93,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;
Municipios;0698;Hiruela (La);1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;4,00;4,00;4,00;4,00;8,00;8,00;8,00;8,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;6,00;6,00;6,00;6,00;6,00;9,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;
Municipios;0719;Horcajuelo de la Sierra;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;4,00;4,00;2,00;2,00;1,00;1,00;1,00;1,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0724;Hoyo de Manzanares;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;23,00;88,00;87,00;32,00;34,00;33,00;35,00;33,00;33,00;33,00;33,00;106,00;33,00;33,00;33,00;33,00;33,00;33,00;33,00;
Municipios;0730;Humanes de Madrid;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;38,00;40,00;40,00;40,00;42,00;44,00;44,00;44,00;44,00;44,00;44,00;44,00;44,00;44,00;44,00;47,00;44,00;44,00;44,00;44,00;44,00;44,00;44,00;
Municipios;0745;Leganés;196,00;196,00;202,00;202,00;197,00;211,00;221,00;217,00;229,00;240,00;245,00;216,00;233,00;235,00;255,00;257,00;259,00;260,00;289,00;284,00;288,00;288,00;288,00;355,00;300,00;294,00;294,00;295,00;298,00;302,00;297,00;
Municipios;0758;Loeches;11,00;11,00;11,00;11,00;11,00;13,00;13,00;13,00;18,00;18,00;18,00;18,00;18,00;28,00;28,00;28,00;28,00;32,00;33,00;32,00;32,00;32,00;32,00;42,00;32,00;32,00;32,00;32,00;32,00;32,00;32,00;
Municipios;0761;Lozoya;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;2,00;2,00;4,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;4,00;4,00;6,00;6,00;6,00;11,00;11,00;11,00;12,00;12,00;12,00;12,00;14,00;14,00;14,00;14,00;14,00;16,00;16,00;17,00;17,00;17,00;17,00;18,00;17,00;17,00;19,00;19,00;19,00;24,00;21,00;
Municipios;0783;Madarcos;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0800;Majadahonda;95,00;95,00;89,00;90,00;95,00;120,00;125,00;134,00;145,00;169,00;174,00;157,00;157,00;155,00;161,00;168,00;170,00;168,00;174,00;176,00;179,00;175,00;172,00;235,00;176,00;176,00;175,00;176,00;179,00;183,00;179,00;
Municipios;0822;Manzanares el Real;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;3,00;3,00;3,00;6,00;8,00;8,00;9,00;10,00;8,00;9,00;8,00;8,00;12,00;8,00;8,00;8,00;8,00;9,00;9,00;9,00;
Municipios;0838;Meco;12,00;12,00;10,00;10,00;6,00;19,00;22,00;22,00;22,00;22,00;25,00;19,00;19,00;21,00;22,00;22,00;22,00;22,00;26,00;21,00;21,00;21,00;21,00;35,00;24,00;24,00;25,00;26,00;26,00;26,00;26,00;
Municipios;0843;Mejorada del Campo;21,00;21,00;24,00;24,00;28,00;28,00;28,00;28,00;28,00;30,00;30,00;25,00;30,00;30,00;30,00;30,00;30,00;30,00;32,00;30,00;30,00;31,00;29,00;38,00;36,00;36,00;36,00;36,00;36,00;38,00;38,00;
Municipios;0856;Miraflores de la Sierra;7,00;7,00;8,00;9,00;8,00;8,00;8,00;8,00;8,00;8,00;13,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;13,00;10,00;10,00;10,00;11,00;11,00;11,00;11,00;
Municipios;0869;Molar (El);6,00;6,00;6,00;6,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;10,00;25,00;25,00;25,00;25,00;25,00;9,00;9,00;9,00;7,00;27,00;7,00;7,00;7,00;7,00;9,00;11,00;11,00;
Municipios;0875;Molinos (Los);15,00;15,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;18,00;17,00;17,00;17,00;17,00;18,00;18,00;18,00;
Municipios;0881;Montejo de la Sierra;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0894;Moraleja de Enmedio;10,00;10,00;20,00;23,00;23,00;37,00;34,00;34,00;34,00;34,00;34,00;32,00;32,00;32,00;34,00;35,00;36,00;34,00;32,00;31,00;31,00;31,00;31,00;35,00;31,00;31,00;31,00;31,00;31,00;33,00;33,00;
Municipios;0908;Moralzarzal;16,00;16,00;16,00;16,00;16,00;16,00;16,00;13,00;13,00;13,00;13,00;13,00;15,00;15,00;17,00;17,00;19,00;19,00;20,00;19,00;19,00;19,00;19,00;20,00;19,00;19,00;19,00;19,00;19,00;23,00;21,00;
Municipios;0915;Morata de Tajuña;11,00;11,00;8,00;8,00;11,00;11,00;15,00;15,00;15,00;18,00;18,00;17,00;17,00;17,00;17,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;20,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;
Municipios;0920;Móstoles;142,00;142,00;154,00;160,00;179,00;183,00;187,00;187,00;195,00;199,00;201,00;183,00;198,00;208,00;211,00;211,00;213,00;213,00;226,00;235,00;240,00;247,00;246,00;298,00;255,00;265,00;267,00;269,00;273,00;277,00;272,00;
Municipios;0936;Navacerrada;10,00;10,00;11,00;11,00;14,00;14,00;15,00;15,00;15,00;15,00;15,00;14,00;20,00;20,00;20,00;20,00;19,00;16,00;16,00;16,00;17,00;16,00;16,00;17,00;16,00;16,00;16,00;16,00;15,00;16,00;16,00;
Municipios;0941;Navalafuente;3,00;3,00;3,00;3,00;3,00;4,00;4,00;6,00;6,00;9,00;9,00;8,00;8,00;8,00;8,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;10,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;
Municipios;0954;Navalagamella;8,00;8,00;8,00;8,00;8,00;8,00;10,00;10,00;10,00;10,00;10,00;10,00;8,00;6,00;6,00;4,00;4,00;4,00;4,00;4,00;5,00;4,00;4,00;11,00;4,00;4,00;4,00;4,00;5,00;5,00;5,00;
Municipios;0967;Navalcarnero;28,00;28,00;33,00;33,00;31,00;37,00;37,00;37,00;37,00;38,00;45,00;43,00;43,00;43,00;54,00;60,00;68,00;69,00;78,00;75,00;75,00;75,00;73,00;86,00;75,00;75,00;75,00;76,00;76,00;78,00;76,00;
Municipios;0973;Navarredonda y San Mamés;3,00;3,00;3,00;3,00;4,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;5,00;5,00;5,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;5,00;5,00;
Municipios;0992;Navas del Rey;4,00;4,00;4,00;4,00;4,00;4,00;5,00;6,00;6,00;7,00;7,00;7,00;7,00;9,00;9,00;10,00;10,00;8,00;9,00;8,00;7,00;8,00;8,00;7,00;8,00;8,00;8,00;7,00;6,00;6,00;6,00;
Municipios;1006;Nuevo Baztán;24,00;24,00;24,00;24,00;25,00;25,00;25,00;26,00;26,00;26,00;26,00;26,00;26,00;26,00;28,00;30,00;28,00;28,00;30,00;31,00;32,00;32,00;32,00;33,00;32,00;32,00;32,00;32,00;32,00;32,00;32,00;
