Serie;id;Nombre;2024;
Municipios;1071;Patones;65,89;
Municipios;1087;Pedrezuela;45,79;
Municipios;1090;Pelayos de la Presa;71,93;
Municipios;1104;Perales de Tajuña;40,16;
Municipios;1111;Pezuela de las Torres;51,57;
Municipios;1126;Pinilla del Valle;91,31;
Municipios;1132;Pinto;23,54;
Municipios;1147;Piñuécar-Gandullas;83,02;
Municipios;1150;Pozuelo de Alarcón;18,05;
Municipios;1163;Pozuelo del Rey;41,51;
Municipios;1179;Prádena del Rincón;85,38;
Municipios;1185;Puebla de la Sierra;103,62;
Municipios;9020;Puentes Viejas;75,18;
Municipios;1198;Quijorna;45,96;
Municipios;1202;Rascafría;95,39;
Municipios;1219;Redueña;56,05;
Municipios;1224;Ribatejada;51,73;
Municipios;1230;Rivas-Vaciamadrid;16,27;
Municipios;1245;Robledillo de la Jara;79,09;
Municipios;1258;Robledo de Chavela;74,92;
Municipios;1261;Robregordo;89,53;
Municipios;1277;Rozas de Madrid (Las);19,98;
Municipios;1283;Rozas de Puerto Real;92,19;
Municipios;1296;San Agustín del Guadalix;36,13;
Municipios;1300;San Fernando de Henares;18,34;
Municipios;1317;San Lorenzo de El Escorial;62,62;
Municipios;1338;San Martín de Valdeiglesias;78,77;
Municipios;1322;San Martín de la Vega;30,40;
Municipios;1343;San Sebastián de los Reyes;20,28;
Municipios;1356;Santa María de la Alameda;70,11;
Municipios;1369;Santorcaz;45,72;
Municipios;1375;Santos de la Humosa (Los);46,49;
Municipios;1381;Serna del Monte (La);80,84;
Municipios;1408;Serranillos del Valle;35,69;
Municipios;1415;Sevilla la Nueva;42,87;
Municipios;1436;Somosierra;93,26;
Municipios;1441;Soto del Real;44,26;
Municipios;1454;Talamanca de Jarama;47,63;
Municipios;1467;Tielmes;45,40;
Municipios;1473;Titulcia;40,44;
Municipios;1489;Torrejón de Ardoz;22,71;
Municipios;1505;Torrejón de Velasco;29,51;
Municipios;1492;Torrejón de la Calzada;27,72;
Municipios;1512;Torrelaguna;60,35;
Municipios;1527;Torrelodones;30,26;
Municipios;1533;Torremocha de Jarama;64,68;
Municipios;1548;Torres de la Alameda;37,05;
Municipios;9036;Tres Cantos;24,56;
Municipios;1551;Valdaracete;58,98;
Municipios;1564;Valdeavero;47,88;
Municipios;1570;Valdelaguna;50,70;
Municipios;1586;Valdemanco;65,26;
Municipios;1599;Valdemaqueda;80,31;
Municipios;1603;Valdemorillo;49,03;
Municipios;1610;Valdemoro;28,75;
Municipios;1625;Valdeolmos-Alalpardo;37,12;
Municipios;1631;Valdepiélagos;51,50;
Municipios;1646;Valdetorres de Jarama;41,95;
Municipios;1659;Valdilecha;45,87;
Municipios;1662;Valverde de Alcalá;42,54;
Municipios;1678;Velilla de San Antonio;21,48;
Municipios;1684;Vellón (El);48,38;
Municipios;1697;Venturada;52,66;
Municipios;1718;Villa del Prado;66,91;
Municipios;1701;Villaconejos;55,54;
Municipios;1723;Villalbilla;39,66;
Municipios;1739;Villamanrique de Tajo;64,30;
Municipios;1744;Villamanta;47,22;
Municipios;1757;Villamantilla;53,90;
Municipios;1782;Villanueva de Perales;50,24;
Municipios;1760;Villanueva de la Cañada;43,20;
Municipios;1776;Villanueva del Pardillo;28,83;
Municipios;1795;Villar del Olmo;48,94;
Municipios;1809;Villarejo de Salvanés;50,67;
Municipios;1816;Villaviciosa de Odón;26,15;
Municipios;1821;Villavieja del Lozoya;80,01;
Municipios;1837;Zarzalejo;65,28;
