Serie;id;Nombre;2024
Municipio;28070;Horcajo De La Sierra-Aoslos;0
Municipio;28071;Horcajuelo De La Sierra;0
Municipio;28072;Hoyo De Manzanares;3
Municipio;28073;Humanes De Madrid;3
Municipio;28074;Leganés;129
Municipio;28075;Loeches;4
Municipio;28076;Lozoya;0
Municipio;28078;Madarcos;0
Municipio;28079;Madrid;3100
Municipio;28080;Majadahonda;95
Municipio;28082;Manzanares El Real;10
Municipio;28083;Meco;5
Municipio;28084;Mejorada Del Campo;10
Municipio;28085;Miraflores De La Sierra;5
Municipio;28086;Molar (El);0
Municipio;28087;Molinos (Los);0
Municipio;28088;Montejo De La Sierra;0
Municipio;28089;Moraleja De Enmedio;3
Municipio;28090;Moralzarzal;14
Municipio;28091;Morata De Tajuña;4
Municipio;28092;Móstoles;149
Municipio;28093;Navacerrada;3
Municipio;28094;Navalafuente;0
Municipio;28095;Navalagamella;0
Municipio;28096;Navalcarnero;29
Municipio;28097;Navarredonda Y San Mamés;0
Municipio;28099;Navas Del Rey;1
Municipio;28100;Nuevo Baztán;7
Municipio;28101;Olmeda De Las Fuentes;0
Municipio;28102;Orusco De Tajuña;0
Municipio;28104;Paracuellos De Jarama;8
Municipio;28106;Parla;44
Municipio;28107;Patones;0
Municipio;28108;Pedrezuela;2
Municipio;28109;Pelayos De La Presa;1
Municipio;28110;Perales De Tajuña;0
Municipio;28111;Pezuela De Las Torres;0
Municipio;28112;Pinilla Del Valle;0
Municipio;28113;Pinto;62
Municipio;28114;Piñuécar-Gandullas;0
Municipio;28115;Pozuelo De Alarcón;77
Municipio;28116;Pozuelo Del Rey;0
Municipio;28117;Prádena Del Rincón;0
Municipio;28118;Puebla De La Sierra;0
Municipio;28119;Quijorna;2
Municipio;28120;Rascafría;0
Municipio;28121;Redueña;0
Municipio;28122;Ribatejada;0
Municipio;28123;Rivas-Vaciamadrid;90
Municipio;28124;Robledillo De La Jara;0
Municipio;28125;Robledo De Chavela;3
Municipio;28126;Robregordo;0
Municipio;28127;Rozas De Madrid (Las);0
Municipio;28128;Rozas De Puerto Real;1
Municipio;28129;San Agustín Del Guadalix;18
Municipio;28130;San Fernando De Henares;23
Municipio;28131;San Lorenzo De El Escorial;18
Municipio;28132;San Martín De La Vega;9
Municipio;28133;San Martín De Valdeiglesias;4
Municipio;28134;San Sebastián De Los Reyes;67
Municipio;28135;Santa María De La Alameda;0
Municipio;28136;Santorcaz;0
Municipio;28137;Santos De La Humosa (Los);0
Municipio;28138;Serna Del Monte (La);0
Municipio;28140;Serranillos Del Valle;0
Municipio;28141;Sevilla La Nueva;5
Municipio;28143;Somosierra;0
Municipio;28144;Soto Del Real;6
Municipio;28145;Talamanca De Jarama;0
Municipio;28146;Tielmes;0
Municipio;28147;Titulcia;1
Municipio;28148;Torrejón De Ardoz;70
Municipio;28149;Torrejón De La Calzada;6
Municipio;28150;Torrejón De Velasco;4
Municipio;28151;Torrelaguna;6
Municipio;28152;Torrelodones;38
Municipio;28153;Torremocha De Jarama;0
Municipio;28154;Torres De La Alameda;2
Municipio;28155;Valdaracete;0
Municipio;28156;Valdeavero;0
Municipio;28157;Valdelaguna;0
Municipio;28158;Valdemanco;0
Municipio;28159;Valdemaqueda;0
Municipio;28160;Valdemorillo;7
Municipio;28161;Valdemoro;74
Municipio;28162;Valdeolmos-Alalpardo;2
Municipio;28163;Valdepiélagos;0
Municipio;28164;Valdetorres De Jarama;1
Municipio;28165;Valdilecha;1
Municipio;28166;Valverde De Alcalá;0
Municipio;28167;Velilla De San Antonio;9
Municipio;28168;Vellón (El);0
Municipio;28169;Venturada;2
Municipio;28170;Villaconejos;0
Municipio;28171;Villa Del Prado;4
Municipio;28172;Villalbilla;7
Municipio;28173;Villamanrique De Tajo;0
Municipio;28174;Villamanta;5
Municipio;28175;Villamantilla;0
Municipio;28176;Villanueva De La Calzada;0
Municipio;28177;Villanueva Del Pardillo;8
Municipio;28178;Villanueva De Perales;1
Municipio;28179;Villar Del Olmo;0
Municipio;28180;Villarejo De Salvanés;4
Municipio;28691;Villanueva De La Cañada;27
Municipio;28181;Villaviciosa De Odón;28
Municipio;28182;Villavieja Del Lozoya;0
Municipio;28183;Zarzalejo;0
Municipio;28901;Lozoyuela-Navas-Sieteiglesias;1
Municipio;28902;Puentes Viejas;0
Municipio;28903;Tres Cantos;77
Municipio;28231;Las Rozas;0
