Nombre,contratos_100,ocupadosColectivos_100,paro_total,pensionistas_100,pension_media,renta_bruta,bibliotecas_100_alumnos,centros_priv_100_alumnos_priv,centros_pub_100_alumnos_pub,extraescolares_10_alumnos,idiomas_10_alumnos,profesores_priv_100_alumnos_priv,profesores_pub_100_alumnos_pub,unidades_escolares_priv_100_alumnos_priv,unidades_escolares_publicas_por_100_alumnos,centrosSociales_10,centros_100,farmacias_100,bus_100,estacionbus_100,estaciontren_100,grupo,servicioCoches_100
Becerril de la Sierra,45.98,44.51,45.79,40.27,43.82,42.11,74.33,95.24,42.53,47.4,49.35,73.37,74.89,100.0,71.34,49.63,42.12,52.7,53.0,47.51,46.55,2.0,47.94
Belmonte de Tajo,49.24,36.85,47.07,46.45,58.23,59.53,49.04,48.99,43.03,48.64,50.0,48.58,47.72,48.63,52.85,47.87,48.75,44.84,40.98,38.68,48.78,1.0,47.43
Berrueco (El),49.4,44.32,56.87,60.59,55.36,46.27,49.04,48.99,100.0,48.64,50.0,48.58,87.88,48.63,88.15,49.47,48.75,53.74,44.28,45.23,48.78,1.0,47.37
Berzosa del Lozoya,51.83,63.28,65.84,4.33,40.05,37.46,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,77.99,48.75,37.96,52.86,58.75,48.78,1.0,47.38
Boadilla del Monte,43.95,47.22,100.0,92.82,25.9,50.28,35.49,35.17,52.68,41.69,49.9,62.65,61.62,53.46,56.22,27.78,7.35,20.77,26.93,84.83,9.63,3.0,59.41
Boalo (El),45.46,46.17,60.95,59.83,52.6,46.6,45.38,46.67,42.96,47.4,49.35,50.81,51.24,52.95,59.68,43.57,42.12,58.65,51.05,57.33,46.55,2.0,47.88
Braojos,49.67,100.0,68.65,54.69,46.43,38.08,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,97.66,60.58,41.81,48.78,1.0,47.5
Brea de Tajo,49.45,47.63,33.83,26.96,54.18,40.81,49.04,48.99,91.27,48.64,50.0,48.58,79.23,48.63,79.68,54.99,48.75,61.27,44.2,42.81,48.78,1.0,47.42
Brunete,45.61,49.06,63.52,62.42,60.62,48.24,47.58,46.29,45.77,47.4,49.35,66.11,52.94,46.46,45.83,46.16,42.12,30.94,49.28,50.43,46.55,2.0,69.35
Buitrago del Lozoya,49.32,63.57,55.54,43.29,58.29,62.48,49.46,50.77,43.29,57.88,50.0,73.81,47.37,68.48,49.05,51.25,93.98,44.4,48.78,41.64,48.78,1.0,47.67
Bustarviejo,49.13,37.98,48.88,54.14,58.85,82.19,52.33,48.99,42.07,48.64,50.0,48.58,46.1,48.63,50.34,47.47,48.75,42.58,39.0,44.09,48.78,1.0,47.38
Cabanillas de la Sierra,49.21,40.8,61.52,61.39,55.58,50.97,49.04,48.99,42.07,48.64,50.0,48.58,53.93,48.63,58.0,46.64,48.75,51.44,48.43,46.51,48.78,1.0,47.44
Cabrera (La),47.37,49.29,34.49,30.74,0.0,35.16,55.98,50.3,52.98,47.4,49.35,63.26,67.28,64.75,51.17,76.66,100.0,57.2,98.66,61.45,46.55,2.0,48.01
Cadalso de los Vidrios,49.78,47.41,3.95,16.87,17.03,34.48,87.67,43.1,63.67,47.4,49.35,31.51,96.24,31.85,87.93,100.0,94.69,52.15,49.16,64.53,46.55,2.0,47.92
Camarma de Esteruelas,53.25,51.7,39.93,63.25,51.3,43.38,48.01,47.17,38.99,47.4,49.35,78.55,31.64,61.82,46.93,45.9,42.12,42.86,40.54,49.11,46.55,2.0,48.32
Campo Real,59.69,50.87,36.94,59.88,50.47,40.06,61.35,79.91,50.61,47.4,49.35,75.83,29.63,79.96,44.92,46.54,66.72,48.94,44.83,30.83,46.55,2.0,47.88
Canencia,49.77,44.24,53.25,36.01,52.46,41.41,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,65.48,55.45,38.68,48.78,1.0,47.46
Carabaña,49.1,36.35,44.7,56.92,58.63,63.81,49.04,48.99,42.63,48.64,50.0,48.58,47.59,48.63,50.54,47.64,48.75,43.53,39.81,45.77,48.78,1.0,47.4
Casarrubuelos,74.78,48.69,50.31,66.29,21.66,36.44,33.55,67.2,100.0,47.4,49.35,79.81,78.28,31.85,100.0,45.72,42.12,80.29,45.98,49.26,46.55,2.0,49.0
Cenicientos,49.11,36.01,34.57,33.65,58.6,57.93,49.04,48.99,41.95,100.0,50.0,48.58,53.69,48.63,51.01,49.88,48.75,44.0,39.92,43.06,48.78,1.0,47.36
Cercedilla,52.43,50.99,53.67,35.45,51.14,42.89,53.74,46.86,45.48,47.4,49.35,51.18,62.91,54.02,41.8,59.2,63.93,64.39,55.74,100.0,100.0,2.0,47.72
Cervera de Buitrago,49.81,54.33,32.47,43.32,36.03,37.12,49.04,48.99,79.64,48.64,50.0,48.58,87.88,48.63,68.39,46.64,48.75,37.96,57.52,73.63,48.78,1.0,47.64
Chapinería,49.12,38.78,48.66,56.45,58.74,72.33,50.52,100.0,41.27,55.27,50.0,81.04,47.54,100.0,47.92,47.51,48.75,42.82,39.03,36.47,48.78,1.0,47.39
Chinchón,56.59,50.66,31.41,6.73,47.22,38.04,58.31,43.1,46.74,47.4,49.35,31.51,36.02,31.85,24.74,47.52,42.12,58.17,50.91,79.67,46.55,2.0,47.75
Ciempozuelos,58.58,52.52,36.1,51.99,77.07,61.05,38.77,48.55,34.65,52.61,49.35,66.64,22.18,57.59,23.48,53.95,48.57,51.22,42.65,39.03,54.45,2.0,47.6
Cobeña,46.62,46.88,77.01,79.49,46.46,46.88,48.06,43.98,41.62,47.4,49.35,51.41,46.15,53.08,46.59,54.71,42.12,43.36,52.6,39.48,46.55,2.0,48.15
Collado Mediano,45.73,46.77,46.7,42.53,47.5,45.06,77.15,43.1,78.54,47.4,49.35,31.51,92.22,31.85,79.98,46.07,42.12,44.5,65.42,42.97,73.84,2.0,55.8
Collado Villalba,16.87,31.47,29.67,58.15,37.71,8.99,55.15,91.54,37.55,76.64,56.21,60.53,48.76,60.01,40.79,49.92,67.07,43.27,93.38,46.27,54.63,3.0,46.56
Colmenar Viejo,21.87,38.68,62.0,66.42,25.79,11.06,100.0,71.81,59.18,41.69,40.04,45.43,58.4,62.31,66.06,57.24,48.39,33.88,82.94,43.64,63.16,3.0,45.8
Colmenar de Oreja,45.42,43.88,28.37,16.34,59.87,41.18,59.12,43.1,47.61,47.4,49.35,31.51,29.61,31.85,36.61,47.42,61.41,57.18,45.29,41.09,46.55,2.0,47.86
Colmenar del Arroyo,49.3,53.6,49.73,60.53,58.07,65.86,54.38,48.99,44.04,48.64,50.0,48.58,50.18,48.63,56.23,47.8,48.75,44.46,40.04,44.23,48.78,1.0,94.98
Colmenarejo,43.08,49.94,53.42,58.01,56.34,46.82,47.0,56.0,39.31,47.4,49.35,62.58,29.17,52.93,41.52,46.88,42.12,35.41,46.72,44.85,46.55,2.0,47.91
Corpa,49.1,33.14,51.38,49.91,55.04,44.96,49.04,48.99,69.46,48.64,50.0,48.58,57.59,48.63,58.51,49.48,48.75,53.82,42.35,39.09,48.78,1.0,47.44
Coslada,62.21,52.8,41.22,0.0,46.06,18.79,45.87,100.0,59.03,60.16,61.74,70.11,60.59,70.0,61.27,37.93,100.0,88.45,39.55,44.14,83.34,3.0,47.27
Cubas de la Sagra,74.77,45.93,63.71,81.82,47.86,41.12,49.54,43.1,37.36,47.4,49.35,31.51,34.6,31.85,35.25,46.52,42.12,48.69,44.77,46.9,46.55,2.0,48.04
Daganzo de Arriba,65.02,57.58,59.22,69.03,60.49,50.38,46.99,54.31,38.82,47.4,49.35,62.9,30.8,61.06,29.6,44.75,42.12,32.03,47.67,37.1,46.55,2.0,48.23
Escorial (El),45.04,46.82,55.89,26.8,68.51,61.23,42.73,43.6,43.32,47.4,49.35,53.07,64.61,50.1,47.03,51.56,42.12,49.16,55.13,46.2,70.78,2.0,48.09
Estremera,49.38,73.03,42.81,47.75,57.82,50.73,49.04,48.99,46.39,69.69,50.0,48.58,52.03,48.63,55.49,51.32,48.75,46.67,41.66,43.64,48.78,1.0,47.43
Fresnedillas de la Oliva,49.04,36.23,40.78,62.98,57.85,57.74,49.04,48.99,44.64,64.76,50.0,48.58,45.28,48.63,47.4,47.91,48.75,45.03,41.05,47.02,48.78,1.0,47.41
Fresno de Torote,49.01,33.87,53.55,78.87,58.42,74.77,49.04,48.99,41.74,48.64,50.0,48.58,44.14,48.63,48.1,47.54,48.75,42.98,39.67,44.8,48.78,1.0,47.49
Fuenlabrada,28.23,35.2,18.95,37.52,75.02,71.22,59.46,36.58,63.21,41.69,48.82,30.46,66.3,28.88,88.82,38.87,50.08,75.4,18.82,26.43,40.94,3.0,46.68
Fuente el Saz de Jarama,46.48,51.39,49.48,40.96,50.84,41.27,64.0,43.1,36.54,47.4,49.35,31.51,58.33,31.85,43.42,50.96,42.12,68.43,47.47,51.63,46.55,2.0,48.13
Fuentidueña de Tajo,49.05,37.82,39.95,44.44,58.57,63.08,52.66,48.99,42.39,48.64,50.0,48.58,46.25,48.63,49.1,48.64,48.75,43.54,41.19,39.8,48.78,1.0,47.43
Galapagar,45.54,44.44,54.59,49.18,78.25,93.77,38.22,46.55,38.8,53.01,49.35,54.02,38.96,53.69,36.38,48.74,46.85,47.12,44.43,47.54,58.14,2.0,47.95
Garganta de los Montes,49.07,48.38,51.55,42.45,51.0,42.0,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,68.1,57.07,74.2,48.78,1.0,47.45
Gargantilla del Lozoya y Pinilla de Buitrago,49.13,54.97,48.49,57.67,49.4,41.62,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,58.33,48.75,70.58,58.6,74.17,48.78,1.0,47.44
Gascones,49.17,53.23,57.74,39.11,44.74,38.38,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,52.1,46.77,48.78,1.0,47.48
Getafe,80.67,53.3,40.71,27.99,73.28,94.51,54.02,59.13,34.61,51.84,46.3,51.58,25.09,59.04,20.9,50.07,72.45,63.92,34.84,43.92,89.1,3.0,45.46
Griñón,62.73,67.64,63.78,35.65,60.2,49.04,41.28,44.29,38.09,47.4,49.35,51.2,34.42,50.78,34.47,54.94,58.66,33.59,43.77,48.91,46.55,2.0,48.35
Guadalix de la Sierra,45.54,44.86,45.68,49.79,49.26,41.35,62.35,79.91,51.72,47.4,49.35,61.06,61.3,79.96,59.14,44.05,42.12,48.71,41.39,40.46,46.55,2.0,47.91
Guadarrama,50.51,48.0,59.82,30.63,70.37,58.92,38.32,44.29,41.35,80.11,49.35,50.26,53.64,49.54,40.84,58.36,51.9,39.33,50.84,52.99,46.55,2.0,47.86
Hiruela (La),49.42,99.95,69.55,100.0,60.26,35.51,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,59.59,52.67,48.78,1.0,89.66
Horcajo de la Sierra-Aoslos,49.26,59.51,64.47,62.92,42.96,38.3,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,51.81,67.64,48.78,1.0,47.45
Horcajuelo de la Sierra,49.41,70.63,69.02,54.09,21.53,35.79,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,67.42,47.42,48.78,1.0,47.4
Hoyo de Manzanares,40.89,49.07,74.09,48.96,51.61,49.49,54.95,43.1,43.15,47.4,49.35,31.51,40.4,31.85,39.66,41.57,42.12,55.19,44.9,59.92,46.55,2.0,47.98
Humanes de Madrid,59.69,69.68,33.78,65.01,74.31,54.97,38.73,45.48,43.7,47.4,49.35,50.74,40.14,54.4,36.04,44.11,50.5,57.95,43.89,43.79,56.82,2.0,48.19
Las Rozas,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
Leganés,34.04,38.94,38.54,9.44,74.95,82.68,60.62,57.72,66.01,41.69,40.04,53.05,53.91,58.24,51.81,66.6,70.06,79.1,12.93,35.87,56.12,3.0,45.42
Loeches,56.47,61.82,43.88,72.19,58.05,44.31,53.59,48.11,61.15,47.4,49.35,55.72,57.98,61.41,50.71,45.27,42.12,36.97,47.28,58.11,46.55,2.0,48.29
Lozoya,49.63,48.07,52.16,40.62,54.2,45.3,49.04,48.99,50.02,48.64,50.0,48.58,74.11,48.63,71.98,46.64,48.75,58.34,43.47,39.97,48.78,1.0,47.43
Lozoyuela-Navas-Sieteiglesias,49.21,48.73,51.88,52.78,57.53,53.96,49.04,48.99,41.43,48.64,50.0,48.58,48.53,48.63,56.99,51.23,48.75,46.5,46.87,53.47,48.78,1.0,47.41
Madarcos,55.6,78.29,78.88,9.62,13.9,35.27,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,81.92,53.14,48.78,1.0,47.46
Madrid,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0
Majadahonda,44.32,51.39,88.75,56.2,29.07,48.56,21.03,49.26,96.37,41.69,40.04,73.13,100.0,68.59,78.77,40.73,31.28,72.69,100.0,65.86,50.36,3.0,100.0
Manzanares el Real,41.62,42.48,54.13,51.93,56.93,47.94,63.88,46.36,52.8,47.4,49.35,61.29,36.01,65.58,54.9,45.16,59.89,35.94,41.99,30.02,46.55,2.0,47.78
Meco,100.0,61.72,50.73,69.78,68.75,56.47,42.9,46.17,38.79,47.4,49.35,54.4,24.7,53.51,29.34,44.86,52.95,43.34,42.11,38.04,59.82,2.0,48.33
Mejorada del Campo,46.99,49.75,40.41,34.56,75.61,62.13,39.68,68.64,36.86,66.7,49.35,67.39,27.21,73.58,30.47,43.66,48.99,47.89,41.27,36.69,46.55,2.0,48.07
Miraflores de la Sierra,44.56,43.65,45.85,48.89,49.91,42.53,66.59,48.8,51.65,47.4,49.35,61.19,67.17,65.31,54.57,44.0,42.12,70.69,41.26,36.89,46.55,2.0,47.82
Molar (El),44.01,42.89,48.37,69.57,60.85,43.44,46.34,75.21,41.23,47.4,49.35,76.59,38.02,84.27,30.61,45.03,59.21,34.65,53.53,31.87,46.55,2.0,47.77
Molinos (Los),41.82,44.85,60.13,25.63,28.74,38.71,100.0,49.61,93.62,47.4,49.35,62.9,69.3,70.19,96.01,52.14,42.12,68.46,58.72,60.84,89.26,2.0,47.9
Montejo de la Sierra,49.26,50.07,68.25,47.14,52.79,39.06,49.04,48.99,67.11,48.64,50.0,48.58,69.24,48.63,56.23,64.5,48.75,71.18,54.87,45.71,48.78,1.0,47.4
Moraleja de Enmedio,50.38,57.69,56.36,46.11,40.87,39.09,66.54,43.1,46.72,47.4,49.35,31.51,62.11,31.85,61.25,47.75,42.12,31.22,60.01,86.03,46.55,2.0,48.4
Moralzarzal,43.59,46.02,67.34,59.91,65.78,57.89,40.55,44.6,39.26,47.4,49.35,55.85,38.89,53.84,33.0,53.51,42.12,35.83,47.69,35.83,46.55,2.0,66.91
Morata de Tajuña,43.21,44.83,33.11,25.48,55.77,40.62,53.23,43.1,46.57,47.4,49.35,31.51,33.43,31.85,35.84,47.8,42.12,41.24,45.99,45.22,46.55,2.0,47.74
Móstoles,9.73,27.79,36.14,15.6,76.29,88.34,48.77,53.49,31.94,41.69,40.04,28.52,32.48,31.92,29.03,46.67,60.97,73.19,25.18,26.96,37.6,3.0,45.88
Navacerrada,46.08,47.23,63.18,41.29,1.11,36.99,97.98,43.1,54.71,47.4,49.35,31.51,51.52,31.85,80.2,46.71,42.12,50.49,55.71,73.09,46.55,2.0,81.01
Navalafuente,49.05,33.82,42.77,62.33,57.89,60.26,49.04,48.99,55.57,48.64,50.0,48.58,60.34,48.63,61.21,48.02,48.75,45.7,40.34,42.78,48.78,1.0,47.44
Navalagamella,42.37,41.18,31.69,71.14,0.11,34.48,33.55,43.1,80.8,47.4,49.35,31.51,77.26,31.85,81.01,47.23,42.12,55.35,57.83,37.92,46.55,2.0,48.02
Navalcarnero,47.22,52.75,50.29,66.56,78.63,77.07,36.81,44.54,38.46,47.4,49.35,47.47,35.14,50.3,30.19,51.06,47.34,51.77,45.44,45.62,46.55,2.0,47.61
Navarredonda y San Mamés,50.12,70.02,60.34,56.62,39.77,37.38,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,80.18,77.14,48.78,1.0,47.47
Navas del Rey,43.79,47.43,36.54,39.12,15.19,34.82,33.55,43.1,47.61,47.4,49.35,31.51,100.0,31.85,98.86,57.16,93.54,100.0,41.73,39.82,46.55,2.0,53.82
Nuevo Baztán,43.03,43.67,37.46,44.5,45.69,41.77,33.55,44.79,50.19,47.4,49.35,48.46,41.05,50.62,41.43,41.57,42.12,47.15,44.44,69.39,46.55,2.0,48.43
Olmeda de las Fuentes,49.06,50.26,53.42,69.17,49.79,43.17,49.04,48.99,84.73,48.64,50.0,48.58,95.46,48.63,73.33,52.28,48.75,69.45,50.11,48.27,48.78,1.0,47.48
Orusco de Tajuña,49.04,37.55,41.08,46.13,57.77,51.65,49.04,48.99,41.67,48.64,50.0,48.58,50.53,48.63,54.28,49.84,48.75,46.91,41.75,39.48,48.78,1.0,47.38
Paracuellos de Jarama,45.65,49.2,79.99,90.93,74.86,89.17,37.07,43.79,43.79,67.3,49.35,47.59,40.38,49.12,46.86,44.69,48.3,37.39,44.02,61.02,46.55,2.0,47.78
Parla,7.68,20.34,10.87,67.84,68.82,29.91,20.4,43.63,16.96,41.69,40.04,40.72,41.2,50.85,56.7,41.4,36.23,1.26,6.04,19.21,31.84,3.0,44.55
Patones,49.16,51.62,62.4,42.52,52.29,43.04,49.04,48.99,43.22,48.64,50.0,48.58,58.3,48.63,60.26,54.65,48.75,60.32,46.73,57.8,48.78,1.0,77.23
Pedrezuela,42.43,42.92,58.98,74.69,41.23,41.34,66.87,43.1,64.8,47.4,49.35,31.51,40.21,31.85,58.22,62.64,42.12,26.92,67.06,55.56,46.55,2.0,47.82
Pelayos de la Presa,45.83,46.63,13.29,38.66,8.47,34.23,33.55,43.1,70.96,47.4,49.35,31.51,82.13,31.85,76.53,52.88,42.12,55.35,42.36,41.6,46.55,2.0,47.74
Perales de Tajuña,44.17,44.31,0.0,26.77,15.02,34.66,33.55,43.1,95.69,47.4,49.35,31.51,67.4,31.85,88.46,41.57,94.64,52.1,100.0,54.1,46.55,2.0,47.84
Pezuela de las Torres,49.11,37.44,49.5,50.52,56.38,48.55,49.04,48.99,53.01,48.64,50.0,48.58,55.26,48.63,56.23,48.96,48.75,50.92,41.63,41.05,48.78,1.0,47.46
Pinilla del Valle,49.15,43.83,53.94,37.72,39.53,37.84,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,100.0,53.78,54.15,48.78,1.0,47.45
Pinto,57.42,46.92,38.34,66.2,26.84,4.29,43.29,22.49,39.97,100.0,40.04,0.0,33.16,0.0,34.5,52.39,48.38,33.85,59.42,35.87,63.15,3.0,46.14
Piñuécar-Gandullas,49.04,64.64,72.79,26.89,39.06,36.99,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,100.0,77.6,48.78,1.0,47.43
Pozuelo de Alarcón,83.9,97.86,97.01,46.43,41.83,100.0,55.17,35.17,100.0,41.69,68.12,79.27,81.99,58.63,72.75,100.0,43.57,63.12,91.72,100.0,42.91,3.0,47.51
Pozuelo del Rey,49.04,34.38,45.15,67.14,57.11,52.09,49.04,48.99,58.2,48.64,50.0,48.58,65.56,48.63,66.31,46.64,48.75,48.06,40.93,40.91,48.78,1.0,47.46
Prádena del Rincón,49.13,64.16,60.34,48.36,38.97,36.82,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,80.18,52.45,48.78,1.0,47.35
Puebla de la Sierra,49.14,64.72,52.89,71.83,17.69,35.67,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,54.24,48.46,48.78,1.0,47.33
Puentes Viejas,49.01,51.29,62.59,72.28,55.41,46.77,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,54.62,46.67,57.11,48.78,1.0,47.44
Quijorna,40.48,42.2,56.72,65.87,16.88,36.49,33.55,100.0,82.62,47.4,49.35,100.0,90.76,69.02,86.85,50.3,42.12,43.21,40.59,42.25,46.55,2.0,47.95
Rascafría,49.14,46.19,58.48,35.21,57.84,63.51,55.15,48.99,44.78,48.64,50.0,48.58,56.38,48.63,60.17,46.64,100.0,45.25,42.04,44.52,48.78,1.0,47.43
Redueña,49.11,66.39,56.05,64.33,45.01,39.08,49.04,48.99,75.56,48.64,50.0,48.58,100.0,48.63,100.0,46.64,48.75,79.59,53.88,40.05,48.78,1.0,50.06
Ribatejada,49.12,39.12,48.26,58.89,55.45,48.79,49.04,48.99,54.51,48.64,50.0,48.58,62.1,48.63,66.71,51.61,48.75,51.84,43.58,59.0,48.78,1.0,47.43
Rivas-Vaciamadrid,27.79,34.86,58.2,84.89,51.67,48.6,65.57,56.31,29.53,41.69,40.04,51.87,21.44,61.91,32.84,55.22,35.92,16.62,39.51,53.23,9.63,3.0,46.23
Robledillo de la Jara,49.14,58.0,36.15,60.98,26.52,35.97,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,80.24,48.75,37.96,73.22,100.0,48.78,1.0,47.36
Robledo de Chavela,47.02,46.27,34.24,39.22,32.3,37.63,79.55,43.1,69.46,47.4,49.35,31.51,96.26,31.85,70.91,59.48,77.57,69.6,64.04,96.61,89.99,2.0,100.0
Robregordo,49.09,69.13,52.8,29.4,24.11,35.32,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,78.07,98.5,48.78,1.0,47.28
Rozas de Madrid (Las),54.22,64.02,90.11,68.61,45.79,77.23,46.68,47.86,58.04,41.69,40.04,68.75,71.18,56.94,100.0,45.31,17.11,62.91,93.86,68.54,100.0,3.0,46.92
Rozas de Puerto Real,49.13,81.07,45.75,39.96,54.46,42.08,49.04,74.24,52.49,48.64,50.0,100.0,60.96,82.54,55.22,50.56,48.75,59.86,41.14,53.08,48.78,1.0,100.0
San Agustín del Guadalix,52.85,54.94,70.53,62.57,64.6,59.58,44.53,65.07,35.34,47.4,49.35,57.95,34.39,67.72,28.58,44.04,42.12,25.37,48.14,30.76,46.55,2.0,47.97
San Fernando de Henares,70.18,71.57,42.98,12.74,79.31,88.41,37.32,83.48,37.5,59.19,49.35,80.12,32.35,84.61,28.74,45.03,50.68,46.92,47.64,46.0,46.55,2.0,48.02
San Lorenzo de El Escorial,48.92,50.3,64.07,23.95,71.26,63.45,39.05,45.17,50.03,47.4,49.35,50.15,59.39,51.7,63.41,49.78,51.14,53.63,52.09,53.38,46.55,2.0,47.7
San Martín de Valdeiglesias,47.88,47.06,15.99,23.52,60.87,41.81,46.61,43.1,48.19,47.4,49.35,31.51,46.16,31.85,32.32,54.68,60.65,55.02,37.18,31.69,46.55,2.0,47.66
San Martín de la Vega,48.86,50.55,26.99,63.06,74.54,55.99,39.73,45.61,42.77,47.4,49.35,53.77,35.12,51.4,26.28,45.72,50.34,49.03,44.85,44.93,46.55,2.0,48.09
San Sebastián de los Reyes,76.75,56.23,65.8,51.4,52.55,45.82,51.6,46.45,45.22,41.69,49.9,33.17,47.76,20.38,68.57,71.75,40.73,38.47,69.95,43.88,9.63,3.0,46.09
Santa María de la Alameda,49.03,43.12,38.67,60.37,57.57,55.5,49.04,48.99,75.56,48.64,50.0,48.58,63.65,48.63,64.44,46.64,48.75,46.31,41.52,53.08,100.0,1.0,47.47
Santorcaz,49.06,38.06,48.8,46.71,56.06,48.22,49.04,48.99,40.93,48.64,50.0,48.58,56.26,48.63,56.23,49.05,48.75,51.4,40.09,39.92,48.78,1.0,47.51
