Nombre,grupo,educacion,salud,transporte,economia,housing,total
Fresno de Torote,1.0,"[45.82, 48.25333333333334]","[40.4, 47.00571428571429]","[20.069999999999993, 40.162]","[16.36, 43.012]","[55.57, 78.486]","[0.43012, 0.6136715605550698]"
Fuenlabrada,3.0,"[34.59, 54.10333333333334]","[27.61, 47.39714285714286]","[18.82, 37.146]","[31.99, 56.852]","[28.65, 44.482000000000006]","[0.39533844189016604, 0.506013037289345]"
Fuente el Saz de Jarama,2.0,"[33.08, 46.13333333333334]","[39.51, 57.86]","[41.64, 47.084]","[45.41, 51.122]","[40.83, 54.812]","[0.51122, 0.5951258887448954]"
Fuentidueña de Tajo,1.0,"[46.37, 48.76555555555556]","[41.04, 52.61142857142857]","[39.8, 44.166]","[42.33, 56.532]","[35.53, 56.407999999999994]","[0.4754144241119483, 0.6247621288020268]"
Galapagar,2.0,"[37.88, 45.52777777777778]","[35.89, 45.98285714285714]","[40.92, 47.79599999999999]","[43.88, 52.324]","[51.22, 69.244]","[0.5232399999999999, 0.596402357513004]"
Garganta de los Montes,1.0,"[26.72, 44.68555555555555]","[44.3, 51.52571428571429]","[47.45, 58.638]","[40.6, 49.978]","[43.23, 64.29599999999999]","[0.49978, 0.6439280805549582]"
Gargantilla del Lozoya y Pinilla de Buitrago,1.0,"[26.72, 44.68555555555555]","[44.3, 53.702857142857134]","[47.44, 59.532000000000004]","[36.79, 49.504]","[34.23, 46.172]","[0.46171999999999996, 0.6157207893054645]"
Gascones,1.0,"[26.72, 44.68555555555555]","[38.36, 46.894285714285715]","[46.77, 52.364]","[45.04, 51.528000000000006]","[21.67, 43.81400000000001]","[0.4381400000000001, 0.5775297360508543]"
Getafe,3.0,"[24.01, 44.81444444444444]","[39.91, 52.36]","[34.84, 49.8]","[53.22, 67.694]","[36.13, 50.864]","[0.44814444444444446, 0.5617964444064626]"
Griñón,2.0,"[37.35, 44.53888888888889]","[31.63, 54.470000000000006]","[38.55, 45.226]","[34.53, 57.272000000000006]","[45.27, 66.376]","[0.5359673753175558, 0.613452725515673]"
Guadalix de la Sierra,2.0,"[47.37, 58.72666666666666]","[25.62, 51.05142857142857]","[40.46, 48.507999999999996]","[43.96, 48.554]","[38.68, 41.54]","[0.42057304849650706, 0.5794754156465853]"
Guadarrama,2.0,"[38.66, 48.769999999999996]","[35.89, 55.035714285714285]","[46.55, 51.148]","[43.63, 57.91600000000001]","[34.06, 57.83]","[0.5791600000000001, 0.6243238328819473]"
Hiruela (La),1.0,"[26.72, 44.68555555555555]","[38.36, 44.21714285714285]","[48.78, 68.478]","[0.0, 31.052000000000003]","[25.1, 40.382000000000005]","[0.31052, 0.5557184199570393]"
Horcajo de la Sierra-Aoslos,1.0,"[26.72, 44.68555555555555]","[38.36, 48.33714285714286]","[47.45, 59.14200000000001]","[37.8, 43.44]","[26.95, 35.414]","[0.35414, 0.5638273316349022]"
Horcajuelo de la Sierra,1.0,"[26.72, 44.68555555555555]","[38.36, 49.98142857142857]","[47.4, 59.638]","[19.480000000000004, 37.378]","[23.930000000000007, 38.992000000000004]","[0.37378, 0.5652622721037497]"
Hoyo de Manzanares,2.0,"[33.08, 44.49888888888889]","[25.62, 43.26142857142857]","[42.08, 48.28599999999999]","[29.58, 43.64]","[47.39, 67.822]","[0.4364, 0.5678994711942732]"
Humanes de Madrid,2.0,"[39.22, 45.922222222222224]","[33.53, 46.38142857142857]","[36.28, 45.794]","[36.61, 62.312]","[15.31, 32.394]","[0.32797408119874455, 0.5385884926201031]"
Leganés,3.0,"[40.25, 52.777777777777786]","[38.5, 57.815714285714286]","[12.93, 36.972]","[37.91, 60.00599999999999]","[27.99, 49.565999999999995]","[0.3934865900383142, 0.5427364508335317]"
Loeches,2.0,"[44.61, 51.72666666666666]","[36.75, 43.58]","[33.239999999999995, 46.694]","[28.200000000000003, 52.04]","[23.6, 39.239999999999995]","[0.3972866254935709, 0.5409458271783738]"
Lozoya,1.0,"[48.58, 51.168888888888894]","[44.08, 47.848571428571425]","[39.97, 50.844]","[37.03, 51.676]","[49.83, 49.89]","[0.4989, 0.6074964068949993]"
Lozoyuela-Navas-Sieteiglesias,1.0,"[45.98, 48.937777777777775]","[44.3, 50.49714285714286]","[46.87, 49.278]","[47.2, 54.044]","[40.51, 51.98599999999999]","[0.5198599999999999, 0.6155574403585258]"
Madarcos,1.0,"[26.72, 44.68555555555555]","[38.36, 51.07285714285714]","[47.46, 63.11800000000001]","[2.9099999999999966, 43.806]","[29.4, 35.861999999999995]","[0.35861999999999994, 0.5828914986193808]"
Majadahonda,3.0,"[20.31, 62.592222222222226]","[31.25, 56.15285714285714]","[40.36, 71.316]","[14.090000000000003, 37.254000000000005]","[28.23, 60.076]","[0.37254000000000004, 0.6126861616927419]"
Manzanares el Real,2.0,"[38.73, 50.69444444444444]","[35.43, 50.564285714285724]","[30.02, 45.006]","[36.47, 44.332]","[38.38, 50.85]","[0.44332, 0.56027860282232]"
Meco,2.0,"[29.36, 43.75111111111111]","[35.89, 43.947142857142865]","[38.04, 48.766]","[30.53, 60.81]","[37.71, 50.156000000000006]","[0.5078060139718539, 0.5676770663038433]"
Mejorada del Campo,2.0,"[33.26, 49.367777777777775]","[33.36, 45.635714285714286]","[25.22, 39.559999999999995]","[46.95, 59.864]","[21.91, 42.054]","[0.4257770578110763, 0.5435722197750139]"
Miraflores de la Sierra,2.0,"[47.37, 55.86222222222222]","[40.47, 52.10000000000001]","[36.89, 47.01199999999999]","[40.44, 48.266000000000005]","[48.73, 50.208]","[0.48266000000000003, 0.5884197628912177]"
Molar (El),2.0,"[33.15, 52.41777777777778]","[22.69, 35.44714285714286]","[31.87, 45.892]","[30.370000000000005, 45.4]","[26.73, 46.303999999999995]","[0.45399999999999996, 0.5205294057920796]"
Molinos (Los),2.0,"[47.37, 65.15777777777777]","[22.69, 39.425714285714285]","[47.9, 63.90400000000001]","[28.03, 46.13]","[40.31, 53.36]","[0.46130000000000004, 0.6235884807552495]"
Montejo de la Sierra,1.0,"[48.58, 52.25222222222222]","[44.3, 57.301428571428566]","[45.71, 54.84400000000001]","[12.150000000000006, 43.760000000000005]","[36.9, 38.544]","[0.38543999999999995, 0.6112116910622943]"
Moraleja de Enmedio,2.0,"[33.08, 49.48333333333333]","[30.42, 51.050000000000004]","[31.870000000000005, 54.572]","[39.73, 49.903999999999996]","[36.35, 52.495999999999995]","[0.49904, 0.5977170473078096]"
Moralzarzal,2.0,"[35.24, 45.35666666666667]","[34.8, 55.10142857142858]","[35.83, 49.99399999999999]","[29.760000000000005, 45.354]","[53.77, 55.522000000000006]","[0.45354, 0.5835113323287289]"
Morata de Tajuña,2.0,"[33.08, 43.40555555555556]","[40.58, 51.62571428571429]","[40.08, 45.116]","[40.26, 55.931999999999995]","[34.12, 38.763999999999996]","[0.39246734838513714, 0.544492138744214]"
Móstoles,3.0,"[28.57, 41.39666666666667]","[38.2, 51.731428571428566]","[25.18, 37.148]","[9.71, 52.372]","[35.37, 55.742]","[0.39535972754363563, 0.50821835655493]"
Navacerrada,2.0,"[33.08, 55.138888888888886]","[25.62, 57.17428571428571]","[46.55, 63.156000000000006]","[0.0, 36.565999999999995]","[38.52, 58.056]","[0.36565999999999993, 0.6338468170868478]"
Navalafuente,1.0,"[48.58, 51.30777777777778]","[40.65, 49.55285714285714]","[38.19, 43.506]","[35.599999999999994, 49.666]","[40.33, 57.112]","[0.4683100107642626, 0.608031642988338]"
Navalagamella,2.0,"[33.08, 51.833333333333336]","[25.62, 48.12571428571429]","[37.92, 50.872]","[5.1, 35.614000000000004]","[34.02, 38.846000000000004]","[0.35614000000000007, 0.5300652375800594]"
Navalcarnero,2.0,"[33.44, 42.83111111111111]","[35.89, 57.99285714285714]","[42.1, 45.464]","[32.84, 52.727999999999994]","[36.36, 51.132]","[0.515416499532023, 0.5791129989955233]"
Navarredonda y San Mamés,1.0,"[26.72, 44.68555555555555]","[38.36, 50.574285714285715]","[47.47, 65.546]","[27.400000000000006, 42.948]","[36.16, 44.738]","[0.42948000000000003, 0.6025369366035268]"
Navas del Rey,2.0,"[33.08, 54.68555555555555]","[35.89, 69.10714285714286]","[39.82, 49.989999999999995]","[17.33, 48.524]","[35.07, 46.488]","[0.4706692315480409, 0.6302328403157019]"
Nuevo Baztán,2.0,"[34.09, 44.21111111111111]","[31.4, 45.190000000000005]","[44.44, 52.722]","[38.53, 49.285999999999994]","[30.84, 56.24400000000001]","[0.49285999999999996, 0.5714604956948295]"
Olmeda de las Fuentes,1.0,"[48.58, 54.437777777777775]","[44.3, 50.494285714285716]","[29.120000000000005, 44.752]","[26.83, 40.64]","[35.78, 51.908]","[0.4064, 0.5938512764220203]"
Orusco de Tajuña,1.0,"[46.05, 49.18777777777778]","[42.34, 46.62857142857143]","[34.83, 42.443999999999996]","[41.24, 54.104000000000006]","[37.29, 50.646]","[0.4568783638320774, 0.586415014479919]"
Paracuellos de Jarama,2.0,"[36.62, 46.56444444444444]","[37.23, 42.41142857142857]","[29.159999999999997, 45.706]","[9.430000000000007, 39.092]","[51.82, 60.674]","[0.39092, 0.5404616820615347]"
Parla,3.0,"[17.09, 37.30777777777777]","[0.0, 30.455714285714286]","[6.04, 30.022000000000002]","[5.38, 43.428]","[34.37, 40.49400000000001]","[0.30455714285714286, 0.3866436502967218]"
Patones,1.0,"[46.76, 50.38444444444445]","[44.3, 51.075714285714284]","[46.73, 55.458000000000006]","[34.019999999999996, 49.636]","[38.97, 53.084]","[0.49636, 0.6280676547111884]"
Pedrezuela,2.0,"[33.08, 50.03666666666666]","[26.31, 49.709999999999994]","[46.55, 53.812]","[26.019999999999996, 40.574]","[34.48, 37.831999999999994]","[0.3830312848030778, 0.5452729960530807]"
Pelayos de la Presa,2.0,"[33.08, 49.79111111111111]","[22.69, 58.99142857142858]","[41.6, 51.738]","[11.01, 51.410000000000004]","[29.41, 35.54600000000001]","[0.3598866052445075, 0.5803982169389237]"
Perales de Tajuña,2.0,"[33.08, 54.083333333333336]","[25.62, 46.614285714285714]","[45.96, 58.89]","[15.24, 54.18000000000001]","[23.93, 32.160000000000004]","[0.3256049407714894, 0.5757995262626178]"
Pezuela de las Torres,1.0,"[48.58, 50.73222222222222]","[44.3, 47.174285714285716]","[26.53, 41.09]","[41.31, 48.239999999999995]","[31.2, 44.05799999999999]","[0.4405799999999999, 0.5645818888136697]"
Pinilla del Valle,1.0,"[26.72, 44.68555555555555]","[44.3, 58.62142857142857]","[47.45, 57.355999999999995]","[36.35, 45.053999999999995]","[0.0, 36.504000000000005]","[0.36504000000000003, 0.5987592069530675]"
Pinto,3.0,"[0.0, 33.62777777777777]","[42.06, 51.10000000000001]","[35.87, 50.556]","[26.39, 44.938]","[23.06, 34.744]","[0.33627777777777773, 0.4530498727703476]"
Piñuécar-Gandullas,1.0,"[26.72, 44.68555555555555]","[38.36, 51.13428571428572]","[47.43, 68.946]","[33.540000000000006, 47.712]","[34.47, 55.726]","[0.47712000000000004, 0.6431776371509605]"
Pozuelo de Alarcón,3.0,"[38.13, 67.67222222222222]","[42.22, 64.47428571428571]","[36.99, 63.826]","[5.579999999999998, 55.779999999999994]","[36.8, 87.00399999999999]","[0.5578, 0.7273341238664512]"
Pozuelo del Rey,1.0,"[48.58, 53.37777777777777]","[42.97, 46.198571428571434]","[12.329999999999998, 38.08200000000001]","[30.519999999999996, 46.614000000000004]","[32.38, 44.69799999999999]","[0.409924650161464, 0.5601886633420206]"
Prádena del Rincón,1.0,"[26.72, 44.68555555555555]","[38.36, 47.67]","[47.35, 60.602]","[3.0400000000000063, 41.226]","[32.93, 48.745999999999995]","[0.41226, 0.5870418537027382]"
Puebla de la Sierra,1.0,"[26.72, 44.68555555555555]","[38.36, 51.097142857142856]","[47.33, 59.762000000000015]","[14.89, 34.748000000000005]","[13.0, 44.839999999999996]","[0.34748000000000007, 0.5755853240838522]"
Puentes Viejas,1.0,"[26.72, 44.68555555555555]","[44.3, 49.38]","[46.67, 51.972]","[24.08, 42.766000000000005]","[47.77, 51.827999999999996]","[0.42766000000000004, 0.5832550816026452]"
Quijorna,2.0,"[34.09, 68.19666666666667]","[42.13, 52.278571428571425]","[40.59, 45.92]","[19.24, 33.230000000000004]","[34.5, 50.064]","[0.33230000000000004, 0.5853934761865455]"
Rascafría,1.0,"[47.36, 51.160000000000004]","[40.61, 59.75857142857143]","[42.04, 54.23]","[39.19, 53.727999999999994]","[52.96, 65.682]","[0.53728, 0.6890934433248789]"
Redueña,1.0,"[48.58, 55.614444444444445]","[44.3, 52.55428571428571]","[32.86, 45.126]","[11.430000000000007, 41.328]","[32.62, 49.54]","[0.41328000000000004, 0.6011918412071978]"
Ribatejada,1.0,"[48.58, 50.67666666666667]","[43.61, 48.35857142857144]","[26.760000000000005, 45.11]","[41.41, 49.522000000000006]","[46.48, 54.936]","[0.4855758880516684, 0.60124731885885]"
Rivas-Vaciamadrid,3.0,"[13.93, 43.15222222222223]","[14.96, 47.645714285714284]","[9.63, 36.39]","[18.909999999999997, 34.65599999999999]","[41.44, 55.948]","[0.3465599999999999, 0.4670231193992902]"
Robledillo de la Jara,1.0,"[26.72, 44.68555555555555]","[38.36, 59.23428571428571]","[47.36, 66.94800000000001]","[21.11, 45.02]","[32.15, 61.024]","[0.45020000000000004, 0.6703698730985684]"
Robledo de Chavela,2.0,"[33.08, 58.45444444444445]","[35.89, 63.72285714285714]","[64.04, 86.864]","[32.16, 50.378]","[43.3, 52.029999999999994]","[0.50378, 0.7352060801623106]"
Robregordo,1.0,"[26.72, 44.68555555555555]","[38.36, 52.98285714285714]","[47.28, 70.548]","[16.92, 58.80400000000001]","[21.67, 40.984]","[0.40984000000000004, 0.6453244674114014]"
Rozas de Madrid (Las),3.0,"[40.25, 60.797777777777775]","[0.0, 23.51571428571429]","[40.93, 70.05000000000001]","[13.120000000000005, 41.998]","[40.71, 66.912]","[0.2351571428571429, 0.5675579829637905]"
Rozas de Puerto Real,1.0,"[48.7, 64.00777777777778]","[44.3, 58.06285714285714]","[41.14, 65.374]","[49.27, 66.17999999999999]","[31.260000000000005, 43.818]","[0.43817999999999996, 0.7238237344565777]"
San Agustín del Guadalix,2.0,"[31.13, 47.44]","[24.76, 52.167142857142856]","[30.76, 43.001999999999995]","[31.439999999999998, 48.784000000000006]","[41.12, 48.614]","[0.48784000000000005, 0.5558112482351013]"
San Fernando de Henares,2.0,"[32.08, 51.11222222222222]","[35.89, 48.58857142857143]","[22.290000000000006, 42.1]","[53.35, 76.19]","[1.23, 39.730000000000004]","[0.4022476460463704, 0.5898928892595474]"
San Lorenzo de El Escorial,2.0,"[39.48, 54.81777777777777]","[35.89, 54.92714285714286]","[46.55, 54.010000000000005]","[34.93000000000001, 56.674]","[33.66, 52.822]","[0.534798015591779, 0.633339498196405]"
San Martín de Valdeiglesias,2.0,"[33.08, 42.97888888888889]","[35.89, 59.52714285714285]","[31.69, 50.188]","[46.79, 62.91799999999999]","[25.82, 41.832]","[0.42352941176470593, 0.5971442337928472]"
San Martín de la Vega,2.0,"[33.71, 44.70777777777777]","[35.89, 45.18857142857142]","[35.370000000000005, 43.958000000000006]","[36.16, 54.834]","[28.66, 40.738]","[0.41245317404070064, 0.5297942934938635]"
San Sebastián de los Reyes,3.0,"[18.69, 42.94777777777777]","[35.63, 49.65571428571428]","[9.63, 42.218]","[34.67, 54.31999999999999]","[24.33, 38.25]","[0.42947777777777774, 0.4785062949782361]"
Santa María de la Alameda,1.0,"[48.58, 55.71]","[44.3, 47.17142857142857]","[41.52, 58.95399999999999]","[42.23, 55.29600000000001]","[30.22, 48.550000000000004]","[0.48550000000000004, 0.6397128140241656]"
Santorcaz,1.0,"[45.79, 49.83222222222222]","[44.24, 47.142857142857146]","[18.28, 38.916000000000004]","[37.1, 51.89000000000001]","[42.86, 49.382000000000005]","[0.41890204520990315, 0.5752912809375319]"
Santos de la Humosa (Los),1.0,"[45.53, 48.10666666666667]","[38.64, 44.85]","[19.36, 38.37800000000001]","[33.489999999999995, 45.116]","[42.65, 51.652]","[0.41311087190527457, 0.5529760500681217]"
