Nombre,contratos_100,ocupadosColectivos_100,paro_total,pensionistas_100,pension_media,bibliotecas_100_alumnos,centros_priv_100_alumnos_priv,centros_pub_100_alumnos_pub,extraescolares_10_alumnos,idiomas_10_alumnos,profesores_priv_100_alumnos_priv,profesores_pub_100_alumnos_pub,unidades_escolares_priv_100_alumnos_priv,unidades_escolares_publicas_por_100_alumnos,centrosSociales_10,centros_100,clinicaDental_10,consultaPrimaria_100,farmacias_100,orgNoSanitaria_total_100,otroConsulta_100,bus_100,distanciaCentro,estacionbus_100,estaciontren_100,servicioCoches_100,Banos,Familiares,Habitaciones,grupo,Precio,superficieFamiliares
Brunete,43.29,49.03,65.82,62.82,60.37,47.79,46.25,46.78,47.37,49.35,60.05,46.01,46.4,43.24,46.25,42.13,68.49,51.14,44.75,38.75,69.7,49.28,56.05,50.43,46.55,69.35,30.12,46.67,31.87,2.0,56.03,47.21
Buitrago del Lozoya,49.41,66.31,53.05,41.22,59.8,49.43,50.82,46.54,56.68,50.0,73.57,47.67,69.98,46.8,51.68,93.09,85.72,40.91,44.61,53.63,46.13,48.78,38.46,41.64,48.78,47.67,38.56,61.16,40.51,1.0,39.88,45.94
Bustarviejo,49.19,42.78,47.63,55.8,60.46,51.8,48.96,46.16,48.7,50.0,48.68,46.24,48.58,49.34,47.43,48.76,58.74,40.22,42.72,46.8,56.88,39.0,54.91,44.09,48.78,47.38,67.16,100.0,51.42,1.0,28.88,50.24
Cabanillas de la Sierra,49.2,43.59,61.77,62.64,56.89,49.07,48.96,46.35,48.7,50.0,48.68,51.49,48.58,60.03,46.53,48.76,44.3,43.4,51.46,46.8,78.45,48.43,67.95,46.51,48.78,47.44,43.33,46.27,54.85,1.0,28.17,68.09
Cabrera (La),49.36,49.18,41.53,30.06,1.1,55.83,51.23,52.97,47.37,49.35,57.55,58.33,69.88,53.06,76.83,100.0,22.69,35.89,57.52,25.62,26.18,98.66,32.05,61.45,46.55,48.01,36.67,35.21,49.88,2.0,53.62,49.96
Cadalso de los Vidrios,48.04,46.41,0.0,18.46,18.33,85.32,43.45,48.81,47.37,49.35,37.11,71.23,33.08,82.0,100.0,94.51,49.41,35.89,52.12,45.32,26.18,49.16,0.0,64.53,46.55,47.92,43.22,40.95,54.26,2.0,66.36,32.7
Camarma de Esteruelas,66.48,51.19,40.6,64.77,52.02,48.13,47.37,39.82,47.37,49.35,65.92,34.27,58.78,50.22,45.93,42.13,65.25,35.89,41.63,38.7,44.38,40.54,56.96,49.11,46.55,48.32,31.21,41.28,27.49,2.0,59.83,60.95
Campo Real,96.09,50.43,32.54,59.71,50.22,61.22,64.17,51.55,47.37,49.35,58.91,41.1,57.62,42.35,46.74,66.99,48.05,35.89,49.5,44.32,47.87,44.83,60.04,30.83,46.55,47.88,38.85,41.12,39.17,2.0,55.47,34.11
Canencia,49.69,44.72,49.12,35.86,53.53,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,45.8,64.65,46.8,46.13,55.45,30.26,38.68,48.78,47.46,43.33,45.3,57.2,1.0,44.0,50.96
Carabaña,49.13,58.23,36.04,58.84,60.19,49.07,48.96,46.36,48.7,50.0,48.68,47.08,48.58,49.84,47.61,48.76,61.67,41.02,43.6,48.59,46.13,39.81,70.83,45.77,48.78,47.4,40.3,80.03,50.99,1.0,55.26,31.59
Casarrubuelos,97.29,47.71,53.12,64.47,24.66,34.09,91.29,100.0,47.37,49.35,100.0,70.49,33.08,91.21,49.83,42.13,43.17,76.81,79.6,30.65,37.86,45.98,60.8,49.26,46.55,49.0,52.32,33.83,47.44,2.0,62.79,59.13
Cenicientos,49.12,39.98,17.58,33.38,60.19,49.07,48.96,46.24,100.0,50.0,48.68,49.87,48.58,50.93,50.08,48.76,63.32,41.77,44.1,49.54,46.13,39.92,12.0,43.06,48.78,47.36,64.13,90.27,81.17,1.0,64.82,42.8
Cercedilla,52.5,51.08,42.17,33.77,50.37,54.96,46.93,48.11,47.37,49.35,49.12,70.49,51.79,52.32,57.36,64.24,45.25,35.89,65.85,61.67,58.33,55.74,35.76,100.0,100.0,47.72,44.68,50.9,53.28,2.0,53.73,43.96
Cervera de Buitrago,49.6,47.36,26.81,41.65,35.64,49.07,48.96,57.52,48.7,50.0,48.68,62.44,48.58,60.03,46.53,48.76,44.3,59.5,38.36,46.8,46.13,57.52,30.37,73.63,48.78,47.64,43.33,32.87,100.0,1.0,58.48,19.47
Chapinería,49.16,43.24,43.31,56.82,60.34,50.38,100.0,45.94,55.12,50.0,74.21,47.56,100.0,46.9,47.49,48.76,75.23,40.76,43.03,48.71,69.15,39.03,65.45,36.47,48.78,47.39,50.7,67.58,48.85,1.0,34.65,52.0
Chinchón,56.02,50.22,22.0,10.95,47.52,57.55,43.45,46.47,47.37,49.35,37.11,30.46,33.08,22.82,47.59,42.13,37.51,35.89,57.78,83.93,43.08,50.91,48.14,79.67,46.55,47.75,91.99,45.46,100.0,2.0,34.36,40.3
Ciempozuelos,64.7,52.92,39.52,50.84,75.92,39.18,49.11,35.22,52.78,49.35,60.94,30.92,56.54,29.15,54.79,48.6,45.79,35.89,51.5,57.25,41.23,42.65,59.05,39.03,54.45,47.6,38.85,71.91,39.17,2.0,65.49,19.34
Cobeña,43.69,46.69,78.21,76.75,46.7,48.59,44.38,41.94,47.37,49.35,51.34,37.28,52.62,40.39,54.93,42.13,44.92,50.7,43.47,61.15,70.55,52.6,60.08,39.48,46.55,48.15,70.52,39.4,73.96,2.0,38.38,70.3
Collado Mediano,50.12,47.45,44.89,43.07,47.04,75.76,43.45,77.52,47.37,49.35,37.11,95.45,33.08,75.69,46.24,42.13,45.55,62.53,44.67,42.48,71.79,65.42,46.09,42.97,73.84,55.8,50.5,46.21,49.39,2.0,45.02,63.14
Collado Villalba,13.91,31.0,26.94,57.27,37.49,55.58,91.93,37.21,76.19,56.08,65.69,51.87,64.53,52.41,53.07,66.4,55.88,68.0,41.61,35.41,52.9,93.38,12.95,46.27,54.63,46.56,54.62,31.21,57.9,3.0,52.11,41.06
Colmenar Viejo,23.36,38.85,62.26,66.86,25.9,100.0,67.72,60.16,41.77,40.25,41.19,56.62,61.01,67.0,56.16,46.74,41.27,42.22,29.84,49.83,48.12,82.94,32.56,43.64,63.16,45.8,50.24,21.73,50.44,3.0,53.49,61.85
Colmenar de Oreja,40.96,44.11,27.31,17.47,59.61,57.99,54.59,48.59,47.37,49.35,72.15,36.05,92.23,42.1,47.48,61.16,51.8,35.89,56.74,42.32,37.24,45.29,35.54,41.09,46.55,47.86,50.5,50.29,62.04,2.0,57.75,59.13
Colmenar del Arroyo,49.62,57.64,39.51,62.99,59.7,53.74,48.96,46.97,48.7,50.0,48.68,49.19,48.58,57.68,47.79,48.76,64.58,41.97,44.48,48.89,46.13,40.04,59.92,44.23,48.78,94.98,56.33,61.57,50.78,1.0,43.41,51.96
Colmenarejo,41.27,48.98,47.42,56.32,55.84,46.88,55.52,39.45,47.37,49.35,57.75,33.25,54.52,39.43,47.04,42.13,58.54,59.77,35.16,49.86,36.4,46.72,57.35,44.85,46.55,47.91,53.41,44.88,47.44,2.0,45.05,47.45
Corpa,49.13,35.6,33.56,45.07,56.22,49.07,48.96,62.21,48.7,50.0,48.68,60.27,48.58,72.52,49.73,48.76,44.3,44.29,53.93,46.8,46.13,42.35,80.61,39.09,48.78,47.44,69.33,39.41,40.08,1.0,55.78,45.66
Coslada,63.01,55.55,44.31,0.0,45.7,45.8,100.0,59.32,59.92,61.44,83.03,69.61,69.26,69.32,43.82,100.0,52.22,77.7,88.29,39.71,34.79,39.55,73.57,44.14,83.34,47.27,39.89,35.54,40.32,3.0,54.79,34.68
Cubas de la Sagra,49.24,46.1,69.53,83.46,48.18,49.16,43.45,37.37,47.37,49.35,37.11,37.7,33.08,34.79,46.6,42.13,35.03,35.89,48.2,46.86,40.25,44.77,58.37,46.9,46.55,48.04,71.61,37.88,57.66,2.0,43.18,91.41
Daganzo de Arriba,73.51,57.37,64.89,67.28,59.96,47.6,54.34,39.99,47.37,49.35,54.32,39.58,58.91,36.22,44.9,42.13,71.04,57.36,31.67,41.47,44.56,47.67,57.91,37.1,46.55,48.23,39.58,44.6,37.71,2.0,55.7,54.38
Escorial (El),42.39,46.99,55.86,25.81,67.61,43.2,44.01,43.6,47.37,49.35,51.29,65.69,50.18,48.17,51.67,42.13,22.69,35.89,49.02,25.62,26.18,55.13,41.93,46.2,70.78,48.09,,70.46,,2.0,,41.01
Estremera,49.41,78.22,42.09,47.33,59.31,49.07,48.96,47.67,67.36,50.0,48.68,48.05,48.58,52.56,51.72,48.76,100.0,42.45,46.76,54.83,46.13,41.66,43.66,43.64,48.78,47.43,53.3,63.92,65.33,1.0,75.98,50.08
Fresnedillas de la Oliva,49.08,40.11,31.42,64.44,59.46,49.07,48.96,47.22,64.19,50.0,48.68,45.05,48.58,46.21,47.91,48.76,44.3,41.69,45.07,46.8,62.68,41.05,47.81,47.02,48.78,47.41,54.6,55.84,60.62,1.0,16.67,45.75
Fresno de Torote,49.06,38.94,49.31,83.64,60.01,49.07,48.96,46.11,48.7,50.0,48.68,45.82,48.58,48.36,47.52,48.76,44.3,40.4,43.2,46.8,58.06,39.67,79.93,44.8,48.78,47.49,86.66,64.54,85.66,1.0,0.0,55.57
Fuenlabrada,31.99,35.58,22.56,36.15,75.4,61.37,39.47,65.66,41.77,48.91,37.54,77.02,34.59,80.6,37.98,49.96,53.98,57.24,74.53,27.61,30.48,18.82,47.14,26.43,40.94,46.68,30.74,85.83,36.58,3.0,59.39,28.65
Fuente el Saz de Jarama,45.41,50.87,48.1,43.64,51.07,64.84,43.45,37.71,47.37,49.35,37.11,55.17,33.08,47.12,50.98,42.13,69.44,63.14,68.22,71.6,39.51,47.47,58.36,51.63,46.55,48.13,59.23,40.92,66.91,2.0,33.83,40.83
Fuentidueña de Tajo,49.1,42.33,25.17,43.77,60.17,52.3,48.96,46.37,48.7,50.0,48.68,47.13,48.58,48.17,48.71,48.76,79.4,41.04,43.66,47.52,59.19,41.19,56.37,39.8,48.78,47.43,35.53,75.97,68.97,1.0,59.31,60.88
Galapagar,43.88,45.07,54.62,49.86,77.15,38.71,46.38,39.12,53.13,49.35,51.55,39.13,54.5,37.88,49.74,46.81,53.68,35.89,46.56,46.71,42.49,44.43,59.08,47.54,58.14,47.95,66.51,98.48,59.61,2.0,29.6,51.22
Garganta de los Montes,49.11,44.06,59.4,35.23,51.35,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,60.17,67.99,46.8,46.13,57.07,34.31,74.2,48.78,47.45,86.66,43.23,71.54,1.0,37.05,57.1
Gargantilla del Lozoya y Pinilla de Buitrago,49.2,47.79,37.05,63.21,50.79,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,59.32,48.76,44.3,61.2,69.41,46.8,46.13,58.6,31.33,74.17,48.78,47.44,34.23,52.12,52.71,1.0,50.24,42.04
Gascones,49.24,51.27,39.49,48.42,45.04,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,57.38,38.36,46.8,46.13,52.1,33.31,46.77,48.78,47.48,21.67,32.43,57.2,1.0,50.1,57.87
Getafe,83.22,53.22,41.16,30.6,73.79,54.1,59.65,32.46,51.67,46.33,50.92,24.41,59.78,24.01,49.7,71.19,53.71,42.22,61.2,48.59,39.91,34.84,64.32,43.92,89.1,45.46,36.71,97.12,41.38,3.0,57.02,36.13
Griñón,64.04,67.94,65.47,40.99,60.84,41.77,44.63,38.76,47.37,49.35,50.46,40.34,50.82,37.35,54.47,57.91,54.88,35.89,31.63,79.04,67.47,43.77,61.45,48.91,46.55,48.35,83.26,45.27,68.85,2.0,44.32,78.82
Guadalix de la Sierra,43.96,45.07,45.85,49.19,48.78,61.82,78.04,51.78,47.37,49.35,55.28,56.81,73.97,54.12,49.14,42.13,47.67,60.85,48.78,25.62,83.17,41.39,33.77,40.46,46.55,47.91,38.85,43.72,38.68,2.0,56.68,43.13
Guadarrama,55.46,48.12,56.37,26.94,69.31,38.66,44.63,41.19,80.32,49.35,48.93,47.82,49.27,38.76,58.75,52.04,47.96,35.89,39.59,90.25,60.77,50.84,42.5,52.99,46.55,47.86,59.23,73.21,60.09,2.0,37.44,34.06
Hiruela (La),49.2,81.76,100.0,86.66,10.96,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,38.64,38.36,46.8,46.13,59.59,8.31,52.67,48.78,89.66,65.0,30.09,25.1,1.0,64.58,46.3
Horcajo de la Sierra-Aoslos,49.33,47.59,59.85,62.2,42.33,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,67.48,38.36,46.8,46.13,51.81,19.97,67.64,48.78,47.45,29.03,38.38,35.8,1.0,53.09,26.95
Horcajuelo de la Sierra,50.06,55.94,80.52,59.93,21.34,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,78.99,38.36,46.8,46.13,67.42,12.83,47.42,48.78,47.4,43.33,31.65,35.8,1.0,76.07,60.25
Hoyo de Manzanares,38.57,48.55,70.42,49.7,51.2,54.96,43.45,43.67,47.37,49.35,37.11,47.13,33.08,44.37,41.71,42.13,41.48,54.67,54.97,25.62,42.25,44.9,57.92,59.92,46.55,47.98,81.8,47.39,69.83,2.0,23.93,64.02
Humanes de Madrid,62.21,69.04,29.6,63.39,73.3,39.22,45.94,42.46,47.37,49.35,50.52,45.61,52.13,40.7,44.26,50.56,57.06,44.48,58.6,36.18,33.53,43.89,63.72,43.79,56.82,48.19,20.65,61.22,27.0,2.0,62.21,15.31
Leganés,37.91,39.29,39.78,12.82,75.43,60.76,54.27,69.62,41.77,40.25,45.46,56.4,47.62,58.85,73.84,69.17,60.64,42.22,76.92,38.5,43.42,12.93,65.48,35.87,56.12,45.42,39.89,94.74,41.91,3.0,56.7,27.99
Loeches,59.89,61.16,46.56,71.8,57.51,53.97,49.05,61.24,47.37,49.35,54.05,44.61,61.26,44.64,45.42,42.13,41.44,54.62,36.75,37.14,47.56,47.28,66.76,58.11,46.55,48.29,30.12,44.43,23.6,2.0,60.65,58.7
Lozoya,50.06,51.91,62.97,35.85,55.23,49.07,48.96,49.46,48.7,50.0,48.68,54.89,48.58,62.18,46.53,48.76,44.3,44.08,58.34,46.8,46.13,43.47,25.43,39.97,48.78,47.43,,49.83,,1.0,,49.95
Lozoyuela-Navas-Sieteiglesias,49.23,52.4,37.62,52.8,59.01,49.07,48.96,45.98,48.7,50.0,48.68,47.03,48.58,53.44,51.67,48.76,44.3,46.94,46.67,48.5,66.64,46.87,50.14,53.47,48.78,47.41,46.36,68.39,40.51,1.0,45.23,49.9
Madarcos,53.89,57.85,97.09,6.18,10.56,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,86.63,38.36,46.8,46.13,81.92,15.71,53.14,48.78,47.46,31.63,29.4,37.94,1.0,61.24,41.58
Majadahonda,48.69,51.0,85.91,55.92,28.41,20.31,46.2,100.0,41.77,40.25,72.56,100.0,64.92,77.32,36.75,31.25,65.51,42.22,71.77,60.96,84.61,100.0,59.64,65.86,50.36,100.0,72.14,28.23,66.43,3.0,38.52,72.1
Manzanares el Real,38.22,42.83,63.53,52.48,56.62,62.66,46.44,52.59,47.37,49.35,56.77,38.73,57.85,44.49,45.29,59.84,49.78,35.89,35.43,50.04,77.68,41.99,41.31,30.02,46.55,47.78,51.23,52.89,57.17,2.0,45.42,38.38
Meco,100.0,62.68,57.16,69.47,68.0,43.2,46.38,39.76,47.37,49.35,51.85,29.36,53.6,32.89,44.97,52.88,50.1,35.89,42.88,39.1,41.81,42.11,44.47,38.04,59.82,48.33,51.96,52.42,37.71,2.0,48.32,57.01
Mejorada del Campo,46.95,50.35,39.4,33.18,74.6,40.01,57.95,37.26,67.26,49.35,56.13,33.26,67.32,35.77,43.79,48.99,61.16,38.22,47.81,33.36,46.12,41.27,74.78,36.69,46.55,48.07,38.85,69.84,36.74,2.0,57.07,21.91
Miraflores de la Sierra,40.44,43.64,43.33,49.94,50.52,66.76,48.61,53.2,47.37,49.35,53.46,66.2,60.68,57.13,44.1,42.13,46.85,60.03,70.5,40.47,60.62,41.26,37.46,36.89,46.55,47.82,51.23,49.78,52.31,2.0,51.27,48.99
Molar (El),40.99,43.15,48.26,69.63,60.75,46.43,74.56,41.55,47.37,49.35,65.73,34.53,79.09,33.15,45.11,58.95,22.69,35.89,33.69,25.62,26.18,53.53,50.26,31.87,46.55,47.77,54.14,47.63,48.9,2.0,45.88,26.73
Molinos (Los),37.76,45.22,60.69,19.67,28.03,96.19,49.86,89.97,47.37,49.35,57.34,61.27,67.23,67.84,52.55,42.13,22.69,35.89,70.92,25.62,26.18,58.72,37.2,60.84,89.26,47.9,49.41,40.31,56.2,2.0,50.71,71.59
Montejo de la Sierra,49.33,50.38,87.85,46.13,53.07,49.07,48.96,55.6,48.7,50.0,48.68,65.77,48.58,54.91,66.9,48.76,44.3,47.62,71.32,76.08,46.13,54.87,22.54,45.71,48.78,47.4,39.86,38.75,39.44,1.0,62.23,36.9
Moraleja de Enmedio,58.59,56.58,60.27,46.95,41.57,67.63,43.45,48.32,47.37,49.35,37.11,54.99,33.08,64.05,47.84,42.13,69.09,66.8,30.42,48.43,52.64,60.01,68.13,86.03,46.55,48.4,49.41,36.35,60.82,2.0,52.1,68.0
Moralzarzal,43.51,46.5,70.24,58.2,65.2,41.02,44.94,40.11,47.37,49.35,53.85,42.74,53.59,35.24,54.61,42.13,75.91,51.64,34.8,53.24,73.38,47.69,47.01,35.83,46.55,66.91,56.32,55.47,53.77,2.0,43.87,55.92
Morata de Tajuña,40.26,45.34,36.46,25.34,55.86,53.19,43.45,46.93,47.37,49.35,37.11,42.6,33.08,37.57,47.87,42.13,43.42,63.51,40.58,74.05,49.82,45.99,59.92,45.22,46.55,47.74,34.12,44.23,34.55,2.0,63.22,44.14
Móstoles,9.71,27.3,34.85,17.05,76.75,50.72,59.65,32.61,41.77,40.25,43.47,31.86,43.67,28.57,44.1,60.6,59.58,42.22,71.93,38.2,45.49,25.18,49.88,26.96,37.6,45.88,45.47,100.0,54.7,3.0,56.83,35.37
Navacerrada,44.48,47.57,70.15,39.07,0.0,100.0,43.45,56.77,47.37,49.35,37.11,47.01,33.08,82.11,46.91,42.13,75.12,88.27,51.15,25.62,71.02,55.71,40.58,73.09,46.55,81.01,71.25,38.52,63.01,2.0,29.47,46.97
Navalafuente,49.08,37.46,33.22,64.4,59.41,49.07,48.96,51.57,48.7,50.0,48.68,54.59,48.58,61.62,48.05,48.76,68.74,40.65,45.73,48.81,46.13,40.34,61.81,42.78,48.78,47.44,63.7,63.26,48.64,1.0,30.37,40.33
Navalagamella,35.87,41.25,30.82,73.33,5.1,34.09,43.45,78.42,47.37,49.35,37.11,75.94,33.08,67.69,47.2,42.13,50.41,91.28,54.06,25.62,26.18,57.83,35.96,37.92,46.55,48.02,44.68,34.02,41.12,2.0,61.07,35.48
Navalcarnero,45.54,51.81,44.04,67.16,77.49,37.2,44.88,38.6,47.37,49.35,47.42,36.81,50.41,33.44,51.13,47.31,70.19,35.89,51.49,80.12,69.82,45.44,57.9,45.62,46.55,47.61,46.13,83.82,45.98,2.0,56.63,36.36
Navarredonda y San Mamés,49.31,49.49,72.6,49.07,37.61,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,83.14,38.36,46.8,46.13,80.18,25.84,77.14,48.78,47.47,39.0,36.16,54.42,1.0,43.74,37.85
Navas del Rey,44.11,46.08,23.92,40.98,17.33,34.09,43.45,47.72,47.37,49.35,37.11,100.0,33.08,100.0,57.04,92.65,100.0,35.89,100.0,57.3,40.87,41.73,31.97,39.82,46.55,53.82,55.23,35.07,61.31,2.0,59.59,40.42
Nuevo Baztán,38.53,44.22,37.92,45.59,47.19,34.09,45.07,49.95,47.37,49.35,47.63,37.75,49.18,37.51,41.71,42.13,46.19,35.89,45.92,31.4,73.09,44.44,45.2,69.39,46.55,48.43,30.84,43.42,82.48,2.0,58.28,82.76
