Municipios;Sexo;Periodo;Total
28143 Somosierra;Total;2024;95
28143 Somosierra;Total;2023;85
28144 Soto del Real;Total;2025;9.400
28144 Soto del Real;Total;2024;9.441
28144 Soto del Real;Total;2023;9.399
28145 Talamanca de Jarama;Total;2025;4.607
28145 Talamanca de Jarama;Total;2024;4.533
28145 Talamanca de Jarama;Total;2023;4.355
28146 Tielmes;Total;2025;2.964
28146 Tielmes;Total;2024;2.810
28146 Tielmes;Total;2023;2.742
28147 Titulcia;Total;2025;1.389
28147 Titulcia;Total;2024;1.387
28147 Titulcia;Total;2023;1.362
28148 Torrejón de Ardoz;Total;2025;143.526
28148 Torrejón de Ardoz;Total;2024;140.626
28148 Torrejón de Ardoz;Total;2023;137.711
28149 Torrejón de la Calzada;Total;2025;10.653
28149 Torrejón de la Calzada;Total;2024;10.378
28149 Torrejón de la Calzada;Total;2023;10.222
28150 Torrejón de Velasco;Total;2025;4.900
28150 Torrejón de Velasco;Total;2024;4.893
28150 Torrejón de Velasco;Total;2023;4.756
28151 Torrelaguna;Total;2025;5.081
28151 Torrelaguna;Total;2024;4.991
28151 Torrelaguna;Total;2023;4.949
28152 Torrelodones;Total;2025;25.433
28152 Torrelodones;Total;2024;25.316
28152 Torrelodones;Total;2023;25.115
28153 Torremocha de Jarama;Total;2025;1.157
28153 Torremocha de Jarama;Total;2024;1.132
28153 Torremocha de Jarama;Total;2023;1.144
28154 Torres de la Alameda;Total;2025;7.824
28154 Torres de la Alameda;Total;2024;7.758
28154 Torres de la Alameda;Total;2023;7.737
28903 Tres Cantos;Total;2025;54.592
28903 Tres Cantos;Total;2024;52.932
28903 Tres Cantos;Total;2023;51.453
28155 Valdaracete;Total;2025;658
28155 Valdaracete;Total;2024;645
28155 Valdaracete;Total;2023;633
28156 Valdeavero;Total;2025;1.896
28156 Valdeavero;Total;2024;1.823
28156 Valdeavero;Total;2023;1.782
28157 Valdelaguna;Total;2025;1.122
28157 Valdelaguna;Total;2024;1.094
28157 Valdelaguna;Total;2023;1.045
28158 Valdemanco;Total;2025;1.097
28158 Valdemanco;Total;2024;1.052
28158 Valdemanco;Total;2023;1.066
28159 Valdemaqueda;Total;2025;870
28159 Valdemaqueda;Total;2024;833
28159 Valdemaqueda;Total;2023;820
28160 Valdemorillo;Total;2025;14.420
28160 Valdemorillo;Total;2024;14.164
28160 Valdemorillo;Total;2023;13.651
28161 Valdemoro;Total;2025;85.972
28161 Valdemoro;Total;2024;83.507
28161 Valdemoro;Total;2023;81.394
28162 Valdeolmos-Alalpardo;Total;2025;4.626
28162 Valdeolmos-Alalpardo;Total;2024;4.568
28162 Valdeolmos-Alalpardo;Total;2023;4.523
28163 Valdepiélagos;Total;2025;612
28163 Valdepiélagos;Total;2024;619
28163 Valdepiélagos;Total;2023;623
28164 Valdetorres de Jarama;Total;2025;5.175
28164 Valdetorres de Jarama;Total;2024;5.026
28164 Valdetorres de Jarama;Total;2023;4.990
28165 Valdilecha;Total;2025;3.289
28165 Valdilecha;Total;2024;3.213
28165 Valdilecha;Total;2023;3.191
28166 Valverde de Alcalá;Total;2025;565
28166 Valverde de Alcalá;Total;2024;553
28166 Valverde de Alcalá;Total;2023;535
28167 Velilla de San Antonio;Total;2025;14.468
28167 Velilla de San Antonio;Total;2024;14.003
28167 Velilla de San Antonio;Total;2023;13.376
28168 Vellón, El;Total;2025;2.281
28168 Vellón, El;Total;2024;2.166
28168 Vellón, El;Total;2023;2.200
28169 Venturada;Total;2025;2.622
28169 Venturada;Total;2024;2.559
28169 Venturada;Total;2023;2.554
28171 Villa del Prado;Total;2025;7.743
28171 Villa del Prado;Total;2024;7.437
28171 Villa del Prado;Total;2023;7.273
28170 Villaconejos;Total;2025;3.569
28170 Villaconejos;Total;2024;3.508
28170 Villaconejos;Total;2023;3.499
28172 Villalbilla;Total;2025;18.687
28172 Villalbilla;Total;2024;18.000
28172 Villalbilla;Total;2023;16.823
28173 Villamanrique de Tajo;Total;2025;859
28173 Villamanrique de Tajo;Total;2024;825
28173 Villamanrique de Tajo;Total;2023;800
28174 Villamanta;Total;2025;2.899
28174 Villamanta;Total;2024;2.823
28174 Villamanta;Total;2023;2.774
28175 Villamantilla;Total;2025;1.660
28175 Villamantilla;Total;2024;1.624
28175 Villamantilla;Total;2023;1.576
28176 Villanueva de la Cañada;Total;2025;24.028
28176 Villanueva de la Cañada;Total;2024;23.799
28176 Villanueva de la Cañada;Total;2023;23.593
28178 Villanueva de Perales;Total;2025;1.715
28178 Villanueva de Perales;Total;2024;1.674
28178 Villanueva de Perales;Total;2023;1.671
28177 Villanueva del Pardillo;Total;2025;18.466
28177 Villanueva del Pardillo;Total;2024;18.086
28177 Villanueva del Pardillo;Total;2023;17.731
28179 Villar del Olmo;Total;2025;2.341
28179 Villar del Olmo;Total;2024;2.277
28179 Villar del Olmo;Total;2023;2.258
28180 Villarejo de Salvanés;Total;2025;8.042
28180 Villarejo de Salvanés;Total;2024;7.900
28180 Villarejo de Salvanés;Total;2023;7.746
28181 Villaviciosa de Odón;Total;2025;30.127
28181 Villaviciosa de Odón;Total;2024;29.273
28181 Villaviciosa de Odón;Total;2023;28.750
28182 Villavieja del Lozoya;Total;2025;332
28182 Villavieja del Lozoya;Total;2024;324
28182 Villavieja del Lozoya;Total;2023;314
28183 Zarzalejo;Total;2025;1.946
28183 Zarzalejo;Total;2024;1.874
28183 Zarzalejo;Total;2023;1.810
