centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;dat_codigo;dat_nombre;direccion_coor_x;direccion_coor_y;bilingue_idioma;british;seccion_ling_ingles;seccion_ling_frances;seccion_ling_aleman
28002609;NUESTRA SEÑORA DE LA SOLEDAD;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;429307;4449552;IN;;;;
28002695;FELIPE II;012;CP PRI;COLEGIO DE EDUCACIÓN PRIMARIA;PÚBLICO;4;Madrid-Oeste;404854;4492927;IN;;;;
28002737;CARLOS RUIZ;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;490842;4448099;IN;;;;
28002853;MARTINA GARCIA;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;1;Madrid-Norte;456391;4497763;IN;;;;
28002877;CARLOS RUIZ;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;4;Madrid-Oeste;414831;4492099;IN;;;;
28002890;SAN GREGORIO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;4;Madrid-Oeste;415560;4492944;IN;;;;
28003250;LA INMACULADA-PADRES ESCOLAPIOS;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;2;Madrid-Sur;437822;4462088;IN;;;;
28003456;VILLA DE GUADARRAMA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;4;Madrid-Oeste;407945;4502203;IN;;;;
28003493;HERMANOS TORA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;429401;4455812;IN;;;;
28003535;MARQUES DE LEGANES;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;434868;4464128;IN;;;;
28003845;ORTEGA Y GASSET;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;2;Madrid-Sur;436100;4464616;IN;;;;
28003900;MARIA ZAMBRANO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;2;Madrid-Sur;436494;4464717;IN;;;;
28003961;DUQUE DE ALBA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;3;Madrid-Este;464936;4470044;IN;;;;
28004059;CERVANTES;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;5;Madrid-Capital;440331;4473049;IN;;;;
28004266;DAMASO ALONSO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;439803;4466409;IN;;;;
28004552;ISAAC ALBENIZ;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;443282;4479541;IN;;;;
28004904;CIUDAD DE JAEN;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;440505;4469336;;S;;;
28004965;ESCUELAS AGUIRRE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;442775;4473992;IN;;;;
28004989;AGUSTINA DIEZ;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;445063;4471051;IN;;;;
28004990;ALBERTO ALCOCER;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;448088;4475961;IN;;;;
28005076;DE PRACTICAS ASUNCION RINCON;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;439709;4476841;IN;;;;
28005167;ESCUELAS BOSQUE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;439610;4478984;IN;;;;
28005179;CAPITAN CORTES;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;436942;4470295;IN;;;;
28005246;CIUDAD PEGASO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;449285;4477571;IN;;;;
28005258;CLAUDIO MOYANO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;439882;4476725;IN;;;;
28005349;EMILIA PARDO BAZAN;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;440135;4473147;IN;;;;
28005431;REINA VICTORIA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;442350;4476086;IN;;;;
28005441;GONZALO FERNANDEZ DE CORDOBA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;433838;4471803;IN;;;;
28005465;GUSTAVO ADOLFO BECQUER;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;444942;4475022;IN;;;;
28005489;HERMANOS PINZON;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;434760;4472285;IN;;;;
28005490;HERNAN CORTES;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;436261;4471447;IN;;;;
28005571;LUIS BELLO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;442886;4477222;IN;;;;
28005601;JAIME BALMES;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;443061;4471026;IN;;;;
28005623;JAVIER DE MIGUEL;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;444277;4470688;IN;;;;
28005726;JUAN SEBASTIAN ELCANO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;440188;4471181;IN;;;;
28005908;MESONERO ROMANOS;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;445284;4471629;IN;;;;
28005933;EDUARDO ROJO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;443733;4470902;IN;;;;
28005994;PADRE COLOMA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;447831;4477751;IN;;;;
28006020;PADRE POVEDA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;443375;4478049;IN;;;;
28006068;PINAR DEL REY;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;444546;4480307;IN;;;;
28006101;PUERTO RICO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;438896;4468846;IN;;;;
28006123;RAMIRO DE MAEZTU;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;441808;4477079;IN;;;;
28006135;REGIMIENTO INMEMORIAL DEL REY;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;444233;4473169;IN;;;;
28006238;RUFINO BLANCO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;440431;4476631;IN;;;;
28006275;SAN EUGENIO Y SAN ISIDRO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;440336;4472629;IN;;;;
28006305;SAN IGNACIO DE LOYOLA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;438744;4470724;IN;;;;
28006317;SAN ILDEFONSO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;439573;4473847;IN;;;;
28006354;SAN JUAN DE LA CRUZ;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;442378;4478978;IN;;;;
28006366;SAN PABLO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;444681;4471192;IN;;;;
28006378;SANTA ANA Y SAN RAFAEL;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;443286;4474769;IN;;;;
28006391;SANTO DOMINGO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;445178;4471448;IN;;;;
28006411;LA ALAMEDA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;448405;4476499;IN;;;;
28007103;MADRES CONCEPCIONISTAS;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;439480;4475316;IN;;;;
28007127;CRISTO REY;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;444094;4480242;IN;;;;
28007152;LUZ CASANOVA EMBAJADORES;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;440875;4471967;IN;;;;
28007292;SAGRADO CORAZON DE JESUS;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;440809;4476256;IN;;;;
28007309;COLEGIO NUEVO EQUIPO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;445721;4477033;IN;;;;
28007607;JESUS MAESTRO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;439618;4476960;IN;;;;
28007991;MATER IMMACULATA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;444713;4477300;IN;;;;
28008107;BLANCA DE CASTILLA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;440948;4475999;IN;;;;
28008211;NUESTRA SEÑORA DEL BUEN CONSEJO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;439540;4477629;IN;;;;
28008223;NUESTRA SEÑORA DEL BUEN CONSEJO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;444349;4477935;IN;;;;
28008405;NUESTRA SEÑORA DE LAS NIEVES;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;447938;4477441;IN;;;;
28008511;NUESTRA SEÑORA DEL PILAR;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;442231;4475516;IN;;;;
28008703;EL PORVENIR;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;440266;4477385;IN;;;;
28008934;LA SALLE-SAGRADO CORAZON;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;439193;4481581;IN;;;;
28008946;SAGRADOS CORAZONES;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;438913;4475938;IN;;;;
28009203;SAN JAVIER;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;440415;4472104;IN;;;;
28009215;SAN JOSE;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;443125;4471341;IN;;;;
28009264;SAN JOSE;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;439063;4473736;IN;;;;
28009291;SALESIANOS ESTRECHO SAN JUAN BAUTISTA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;440326;4478482;IN;;;;
28009525;SANTA GEMA GALGANI;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;435418;4472104;IN;;;;
28009549;REAL COLEGIO SANTA ISABEL-LA ASUNCION;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;440895;4473456;IN;;;;
28009586;SANTA MARIA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;439140;4469394;IN;;;;
28009641;SANTA MARIA DEL PILAR;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;442800;4473716;IN;;;;
28009793;SANTISIMO SACRAMENTO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;443922;4479111;IN;;;;
28010060;VIRGEN DEL PILAR;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO CONCERTADO;5;Madrid-Capital;439952;4480837;IN;;;;
28010412;AMADOR DE LOS RIOS;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;443458;4475271;IN;;;;
28010424;ARAVACA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;433396;4479184;IN;;;;
28010436;ASUNCION CUESTABLANCA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;444588;4484169;IN;;;;
28010448;SANTA RAFAELA MARIA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;442840;4470003;IN;;;;
28010461;CARLOS V;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;444496;4476480;IN;;;;
28010503;DOCTOR CONDE ARRUGA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;445385;4472787;IN;;;;
28010540;DIVINO MAESTRO;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;5;Madrid-Capital;436919;4473300;IN;;;;
28010618;FERNANDO EL CATOLICO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;439825;4476188;IN;;;;
28010679;PI I MARGALL;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;440232;4475368;IN;;;;
28010710;ISABEL LA CATOLICA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;440656;4475350;IN;;;;
28010722;JOAQUIN COSTA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;5;Madrid-Capital;439367;4473018;IN;;;;
